sym	gene_id_x	ln_baseMeanA_sum	ln_baseMeanB_sum	ln_expr_Vec_Tam_5_counts_sum	ln_expr_N1ICD_Tam_6_counts_sum	ln_expr_Vec_Tam_11_counts_sum	ln_expr_Control_A3_sum	ln_expr_DDIS_C3_sum	ln_expr_Vec_Tam_4_counts_sum	ln_expr_Vec_2_counts_sum	ln_expr_N1ICD_Tam_1_counts_sum	ln_expr_RIS_A2_sum	ln_expr_DDIS_A2_sum	ln_expr_N1ICD_12_counts_sum	ln_expr_N1ICD_7_counts_sum	ln_expr_Control_C2_sum	ln_expr_N1ICD_2_counts_sum	ln_expr_N1ICD_Tam_10_counts_sum	ln_expr_Control_B1_sum	ln_expr_Vec_Tam_1_counts_sum	ln_expr_N1ICD_4_counts_sum	ln_expr_RIS_C2_sum	ln_expr_Control_A2_sum	ln_expr_N1ICD_Tam_11_counts_sum	ln_expr_Vec_10_counts_sum	ln_expr_DDIS_A1_sum	ln_expr_Vec_6_counts_sum	ln_expr_DDIS_C1_sum	ln_expr_RIS_A3_sum	ln_expr_N1ICD_Tam_3_counts_sum	ln_expr_Vec_12_counts_sum	ln_expr_RIS_B2_sum	ln_expr_RIS_B1_sum	ln_expr_Vec_8_counts_sum	ln_expr_Vec_Tam_3_counts_sum	ln_expr_RIS_C1_sum	ln_expr_Control_C1_sum	ln_expr_N1ICD_Tam_9_counts_sum	ln_expr_DDIS_A3_sum	ln_expr_Control_C3_sum	ln_expr_Control_A1_sum	ln_expr_Vec_9_counts_sum	ln_expr_RIS_C3_sum	ln_expr_DDIS_C2_sum	ln_expr_RIS_A1_sum	ln_expr_N1ICD_8_counts_sum	ln_expr_DDIS_B2_sum	ln_expr_N1ICD_5_counts_sum	ln_expr_Control_B2_sum	ln_expr_DDIS_B1_sum	ln_expr_Vec_Tam_7_counts_sum	ln_C12.rna_sum	ln_C3.rna_sum	ln_Q.rna_sum	ln_preS.rna_sum	ln_S.rna_sum	ln_Tr.rna_sum	ln_C12.rp_sum	ln_C3.rp_sum	ln_Q.rp_sum	ln_preS.rp_sum	ln_S.rp_sum	ln_Tr.rp_sum	ln_BJ_Y1_sum	ln_BJ_Y2_sum	ln_BJ_Y3_sum	ln_BJ_OLD_1_sum	ln_BJ_OLD_2_sum	ln_BJ_OLD_3_sum	ln_IMR90_Y1_sum	ln_IMR90_Y2_sum	ln_IMR90_Y3_sum	ln_IMR90_O1_sum	ln_IMR90_O2_sum	ln_IMR90_O3_sum	ln_WI_38_Y1_sum	ln_WI_38_Y2_sum	ln_WI_38_Y3_sum	ln_WI_38_O1_sum	ln_WI_38_O2_sum	ln_WI_38_O3_sum	ln_HFF_PD16_1_sum	ln_HFF_PD16_2_sum	ln_HFF_PD16_3_sum	ln_HFF_PD74_1_sum	ln_HFF_PD74_2_sum	ln_HFF_PD74_3_sum	ln_MRC_5_PD32_1_sum	ln_MRC_5_PD32_2_sum	ln_MRC_5_PD32_3_sum	ln_MRC_5_PD72_1_sum	ln_MRC_5_PD72_2_sum	ln_MRC_5_PD72_3_sum	ln_HFF_PD26_1 _sum	ln_HFF_PD26_2 _sum	ln_HFF_PD26_3 _sum	ln_HFF_PD46_1 _sum	ln_HFF_PD46_2 _sum	ln_HFF_PD46_3 _sum	ln_HFF_PD64_1_sum	ln_HFF_PD64_2_sum	ln_HFF_PD64_3_sum	ln_MRC_5_PD42_1 _sum	ln_MRC_5_PD42_2 _sum	ln_MRC_5_PD42_3 _sum	ln_MRC_5_PD52_1 _sum	ln_MRC_5_PD52_2 _sum	ln_MRC_5_PD52_3 _sum	ln_MRC_5_PD62_1_sum	ln_MRC_5_PD62_2_sum	ln_MRC_5_PD62_3_sum
TSPAN6	ENSG00000000003	6.26333492271	6.46354532159	1.5337687239	1.80234886185	1.61589034603	1.69862228042	1.76958233958	1.68061913431	1.81414207808	2.02890563148	1.8227434799	1.73023597425	1.58559071656	1.6583061129	1.75940628223	1.55740087279	1.66962799141	1.40680900649	1.55345776223	1.62661289035	1.77313006036	1.87514200855	1.72857966649	1.8220713055	1.75249001998	1.90936722489	1.76333337154	1.92218810034	1.90412465201	1.89413030436	1.72145835139	1.84310603888	1.97338477213	1.66403529642	1.7926611276	1.87592131291	1.73050821445	1.84761786089	1.56116739346	1.69186672916	1.91659139895	1.87956485929	2.02253515533	1.76868265448	1.58094436143	1.75402550231	1.48260100473	1.63265152716	1.82179403961	1.55551515457	2.30058309032	2.47401420862	2.5313130226	2.47737838337	2.89480635496	2.45530618001	3.36245655335	3.50645789232	3.03927057557	3.1701056605	4.37298589002	3.26499576048	1.87026253072	1.90508815454	1.97269117173	2.30757263451	2.25129179861	2.29656702067	2.32238772029	2.28238238568	2.33988087774	2.26902830947	3.16800349449	3.44073855628	2.16447179086	2.11142458753	2.15640258282	3.07685132484	3.15572300986	3.1625170912	1.95868534054	2.01623546578	2.00417905718	2.99723114968	2.74148497719	2.71336936258	2.36179695263	2.35801979988	2.52732736567	2.59674613154	2.72457950305	2.8355635214	2.04398389008	2.18847163228	2.16339276944	2.08186517655	2.08069912721	2.57864557005	2.17982898681	2.26272212315	2.32972613306	2.23135366724	2.26893900331	2.26617444334	2.23144830088	2.20357058919	2.17445357602	2.37029050579	2.61292796164	2.39662741668
CFH	ENSG00000000971	5.4822480805	5.8978502964	2.25698133103	0.961999937117	2.28744975583	2.89282422411	2.86783429928	2.38944795143	3.56241476163	1.09975056282	1.82963236451	2.34672753433	1.50455048338	1.08509375232	1.77587410053	1.78766376932	1.1153457547	2.69743285884	2.13801101818	1.71973645289	2.51684118904	2.59034590776	1.28609082628	3.4900757597	1.10879133846	3.59387595306	2.62666471274	2.31256318634	1.07898897809	3.61927436853	2.20629680539	2.38285852596	3.60614659864	2.36743402683	1.85188313846	2.84390956566	1.02467775182	2.93778467017	2.81446113766	2.39315930504	3.40223987235	0.695288148946	2.65280164995	1.90816032639	1.30099917025	2.47307485356	1.6449758033	2.76005651998	2.61561198834	2.4143565905	2.03992078352	2.69259809654	2.50143595174	2.20937271127	2.90306858869	1.58923520512	2.75366071235	3.51779452925	3.15188095604	3.06432506502	4.34976167409	2.72326716691	1.72988406551	1.72097928717	1.66770682056	2.60786147385	2.57794151576	2.60712428251	1.3480731483	1.35840915763	1.42310833424	1.38629436112	0.887891257352	1.33762918914	1.43983512805	1.39871688112	1.45161382724	1.65632149833	1.64287268852	1.67896397508	-0.248461359298	0.0392207131533	-0.0943106794712	3.53485376647	3.45125658153	3.42067315816	1.76644166124	1.82454929205	1.86562931779	-0.223143551314	0.0676586484738	0.0769610411361	1.26732336049	1.31722389046	1.17878700301	2.48251204668	2.42742267031	2.06150297716	2.73782786742	2.74511574932	2.76335147935	1.78193594654	1.80453518479	1.73189219733	1.80869741489	2.0044426855	1.91184800207	2.09845771752	1.78594461016	2.07554533808
NIPAL3	ENSG00000001461	5.9840428791	6.67109371761	2.27040885883	2.16424988628	2.10047558615	3.08453158973	3.47088434687	2.07046294311	3.51169654352	2.30280785089	2.17639136257	3.48224109049	2.51769097406	2.51075104347	3.10006655296	2.66439523707	2.66278382396	3.07429617106	2.16249212266	2.5114140963	2.10378842481	3.148390058	2.40774410713	3.38549460219	3.3576791239	3.51497064768	3.19275405091	1.96742778004	2.40303426709	3.30819216741	2.00870377949	2.09919763139	3.32326683384	2.08210287188	2.13553691329	2.92426796683	2.46933653406	3.29987803223	3.02357993627	3.0516733332	3.4431083409	1.94257645762	3.43038947673	2.19278219811	2.6683662782	3.45510158002	2.76179894469	3.04194566262	3.47058411375	2.02026739408	3.94352167249	4.08024563784	3.73671678353	3.69386699562	4.99558933589	3.49438409639	2.6518325211	3.24376354038	2.8627721463	2.87243405721	4.7771046499	2.74919214443	2.4630018144	2.50470927708	2.52091708731	3.14328983791	3.14759462286	3.15102515796	2.0756844928	2.08318452796	2.11504996915	2.04381436404	2.89922137317	3.39986315865	2.56109578815	2.60120710548	2.55567572068	3.56359963769	3.5610460826	3.59649000482	2.37954613413	2.32922702394	2.38324299601	3.37005065267	3.36695094293	3.37176857097	2.61300665242	2.6518325211	2.59749101054	3.58684672855	3.58462943274	3.56189799235	2.70268055566	2.76476074844	2.71981144308	2.6502043847	2.68456129129	2.06294898647	2.89566938952	2.89731908479	2.88889302511	2.68394549018	2.68971942838	2.6748030394	2.67536475105	2.73685973307	2.76402986638	2.96229967104	2.61623648002	2.98274714703
CYP51A1	ENSG00000001630	4.59787034894	4.37213581985	-0.0282910704376	0.234748887136	-0.0498043379971	0.935070182298	0.0468993509068	-0.0260218888412	-0.193710869753	0.133577020241	0.425763435924	0.460700876842	0.086361501016	0.434270145874	0.515106015586	-0.0515232305275	0.499239983048	0.63026971284	0.00820508620929	0.433650559953	0.333172962829	0.777545663088	0.241595898597	-0.379943940644	0.775363821568	-0.0413505592373	0.316903759501	0.542449862795	0.350875487354	-0.20014630372	0.260279781906	0.281046244544	-0.488965412731	-0.500365230517	0.412922890057	0.320053488817	0.733214434027	0.205515358877	0.843485749408	0.830389093866	-0.0956693973368	0.426399153196	0.672649880937	0.213895619475	0.316275453677	0.966790919543	0.228367848935	0.686029929056	0.634427694716	-0.0981749626131	2.94285878395	3.16589690008	4.53935084495	3.35025490292	3.44009753062	3.16209381077	3.80086795606	4.27819273093	5.37310011099	4.52536911578	5.1348568174	4.23294641166	-0.527632742082	-0.69314718056	-0.371063681391	-0.356674943939	-0.150822889735	-0.328504066972	-0.510825623766	-0.415515443962	-0.597837000756	-0.274436845702	0.425267735404	0.412109650827	-0.274436845702	-0.73396917508	-0.798507696218	-0.478035800943	-0.527632742082	-0.616186139424	0.0769610411361	0.215111379617	0.0487901641694	-0.301105092784	-0.210721031316	-0.0202027073175	0.277631736598	0.357674444272	0.058268908124	0.113328685307	-0.116533816256	0.0198026272962	0.194651480736	0.0331397983486	0.144625118809	0.286915607793	0.39620562645	-1.77464092911	0.222110340936	0.21668470178	0.0700259554053	0.211408367406	0.106668296939	0.0280369710573	0.291179685167	0.350410337705	0.30584744179	0.719972193091	0.173770875358	0.686780412638
MAD1L1	ENSG00000002822	-0.277913713177	0.00349877331949	2.22352031546	2.06911897388	2.21181104799	2.49848499039	2.36264030633	2.13733407649	1.98589007776	1.79866727144	2.3766935303	2.33158826355	1.66586923394	1.58414145301	2.701320119	1.32913907916	2.3426056327	2.52580623482	2.23184559514	1.61810220068	2.50110286474	2.53118254277	2.29751699849	1.96752856382	2.26357636595	1.86562034037	2.2826737624	2.66020643287	1.9568568387	1.9437272455	2.52570656982	2.36146514418	2.01943745855	1.99423670408	2.46698824883	2.69297374734	2.15358333132	2.33057503913	2.49996326477	2.5810282877	2.2445529459	3.03488548303	2.27381534231	2.72743402272	1.69261810222	2.21479077221	1.54819828721	2.42508983599	2.34212747921	2.25574490355	2.99473177322	2.68102152871	2.81301063674	2.98061863574	2.64404487113	2.95125778345	4.07124651098	3.12104246452	3.96480519087	4.10181657706	3.09693415406	3.50254987592	1.23837423104	1.22082992139	1.22377543162	0.959350221335	1.00063188031	1.01160091168	1.35840915763	1.37371557891	1.35583515364	1.26412672715	0.67803354275	1.07840958135	1.46325540226	1.46093790412	1.43746264769	1.10194007876	1.07500242303	1.04731899428	1.47932922709	1.54543258246	1.41827740697	0.797507195884	0.806475865867	0.819779831493	1.37371557891	1.32175583998	1.35583515364	1.26976054486	1.30019166207	1.24415459396	1.27528262206	1.09533969825	1.22116856169	1.07872557972	1.08120685648	1.21501364818	1.04853395171	0.941226349863	0.967592851583	1.44911154199	1.45164152264	1.45724183845	1.59585547757	1.38802028486	1.37376839726	1.15282723082	1.46208805427	1.10291505216
TFPI	ENSG00000003436	5.74424922285	5.38385739001	4.09249111637	5.03096139296	4.06491357204	3.53425513571	4.26928904215	4.16511245497	4.58687200835	5.42933197025	3.51142824137	3.87468015783	5.11889297931	4.96354844668	2.87731099967	5.22892169062	4.95763835614	3.23070544815	4.00645709145	5.11208003012	3.74868102638	3.05120591951	5.1014519253	4.62711473845	3.43165089995	4.70874063166	4.23727375335	3.86738701819	5.31247205633	4.78907030067	3.68162662243	3.69889045452	4.69368806508	4.24317025675	3.40960478193	3.44841320466	5.13470091072	4.16472169035	3.30630909444	2.82750142513	4.40383754299	2.96520219428	4.11814883884	3.31133912412	4.93967343401	4.11687227047	5.03999709176	3.27917908057	4.09337055267	4.10007840008	2.75810940097	2.85704475378	3.29435428604	2.83497649467	3.00716665118	3.33719205169	4.75522678219	4.72968606069	4.89027393743	4.61492247743	5.60097425467	5.47771799491	1.19694818939	1.14103300455	1.22082992139	1.49514876603	1.46325540226	1.50629715351	2.66095859357	2.7040421797	2.74148497719	2.78130066284	3.15273602236	2.42480272572	2.32727770558	2.2533948488	2.28949985345	2.80214752448	2.91126311693	2.91560622907	1.57484646766	1.54756250872	1.6134299337	2.01490302054	1.88858365386	1.91545094157	2.6518325211	2.59525470696	2.6166656393	2.57108434603	2.4578779774	2.54160199346	1.5598420818	1.61402159449	1.56649540183	1.32418877453	1.38809627794	1.67472445829	1.67092248514	1.64513793831	1.70549357848	2.37361741898	2.38718716327	2.41636743699	2.24530828017	2.32469988341	2.27350154422	2.82291639075	2.85884455992	2.8556626354
PLXND1	ENSG00000004399	8.11214146792	8.32353295978	2.71538072259	3.50234780548	2.5996168632	3.33092733905	3.05393633307	2.65457261865	3.0467547231	3.4115257382	3.33241134955	3.08800009957	4.28798014746	4.24158676803	3.40968699452	4.13778895927	3.56675288478	3.27170658673	2.72854862675	4.20703166184	3.27535985947	3.2403442256	3.63743098866	2.98909501788	3.25164254563	2.94857749374	3.03474542233	3.24932518628	3.54995633711	2.98657109801	3.22040416357	3.27898773847	3.03174744417	2.54237681943	3.37487204475	3.19845082515	3.56911056707	3.14377140131	3.17087145119	3.30725491358	3.12469997056	3.46801571062	3.05070721499	3.36110768257	4.2711228371	2.97707901025	4.26637115223	3.24620265559	3.19820217456	2.63569113949	3.11395965492	3.34003094642	3.3076190347	2.5152741864	2.23751309625	3.7040143417	2.29958058397	2.67621547758	2.92100872736	2.18829594659	1.62924053973	2.97858611472	2.87356463958	2.95230271563	2.95438931002	2.88647528762	2.88424189752	2.88703285663	2.39880395073	2.50061594349	2.37490575457	2.33698651971	2.61812549357	2.50225528812	1.98100146887	1.98375629155	1.95444505151	2.43711598595	2.34946867889	2.41858876875	2.68784749378	2.70938264634	2.6483001967	2.73890266458	2.81780106506	2.81660560766	2.55877649835	2.5423890852	2.46979301198	2.50797192272	2.47401420862	2.40784560365	2.70484786442	2.70227977417	2.69580268621	2.80227147857	2.79387738271	2.13930918718	2.82615448115	2.72852433361	2.73274037922	2.52116368713	2.4409953553	2.54162890885	2.43443562163	2.47452554375	2.52382292478	2.65796039627	2.24283687256	2.46091144285
FKBP4	ENSG00000004478	6.4799227771	6.45486994531	3.42260321437	3.00012116669	3.38888292084	2.96989794765	3.03276079658	3.39936463642	3.11897718922	2.98215168579	3.09991886927	3.33619523153	2.85417176155	2.89469946858	3.0650238035	2.85767731658	3.03036527161	2.92331501244	3.49129164378	2.91761038007	3.04465544667	3.06430099572	3.05440278003	3.18777641	3.47516789052	3.09900993763	3.19529626692	3.18752903206	3.00894943154	3.20549509691	3.14279383259	3.05378019794	3.16360915874	3.42783619477	3.16881642566	2.95382558716	3.07093120526	3.06494957342	3.15061132222	3.0968711002	3.23511070543	3.42248245579	3.27260861492	3.12095077908	2.93110750156	3.26628785443	2.93407164001	3.07240425553	3.17203598815	3.46351956115	4.73830149859	4.04812608842	4.18357569595	4.87129659547	4.36284381526	4.82253708452	5.32476453656	4.54976317872	4.83445484206	5.36691015801	4.79537723706	5.40267738187	2.04122032886	2.14826773261	2.10778601469	2.16905370037	2.1494339135	2.14710019015	2.59897910605	2.54944517093	2.52252351336	2.50061594349	2.48240351957	2.35042242241	2.97960289162	3.03158192645	3.0223742045	2.16905370037	2.1234584271	2.183801557	2.55412171881	2.59226516811	2.54944517093	2.13416644137	2.0756844928	2.05027016438	2.47821766164	2.50143595174	2.51122395811	2.1552445051	2.17588743995	2.26384426468	2.02940230432	1.86566124561	1.99094048863	1.76041976425	1.62799805876	1.83672951157	1.59383569316	1.58920912049	1.61803402397	2.48760138074	2.46592327446	2.63829732803	2.60815149516	2.44366102301	2.49909817947	2.01797083279	2.30205141231	2.01562988058
CAMKK1	ENSG00000004660	-0.0576005251631	0.883516727847	0.89247008168	-1.00287470477	0.720554647798	0.734183475346	0.842197285049	0.539163824671	0.414492228842	-1.11908444903	0.552455298423	0.553491187665	-1.36483619118	-1.16335618006	0.638458976819	-2.43427912673	-0.658340901181	0.876920890418	0.642383671208	-1.74843464079	0.758691462333	0.679356354374	-0.977335560293	0.455094322148	0.909645853333	0.40742480243	0.63923802277	0.477546531715	-1.34628043393	0.431951115075	0.431423406975	0.668128037207	0.239523851739	0.577018790573	0.552624989292	0.468724258035	-1.49903173302	0.808441400372	0.532624189247	0.381222862328	0.556446888349	0.6440627939	0.72085011979	0.373377304796	-1.57193570437	0.559515629714	-1.62829495137	0.739390518469	0.77682885092	0.64833280736	1.39376637596	1.40118297361	1.47247205736	1.48160454092	0.173953307123	1.69927861643	1.82776990675	0.951657875711	1.73342389222	2.28747145518	0.0676586484738	1.10856261952	0.559615787935	0.542324290825	0.587786664902	0.61518563909	0.598836501089	0.582215619853	0.364643113588	0.336472236621	0.488580014819	0.336472236621	1.10525683139	0.45107561936	0.45107561936	0.524728528935	0.576613364304	0.37843643572	0.190620359609	0.285178942234	1.10856261952	1.15373158789	1.04027671166	0.431782416426	0.392042087776	0.405465108108	0.500775287912	0.336472236621	0.34358970439	0.524728528935	0.641853886172	0.494696241836	0.601956124505	0.550012349611	0.64417933023	0.581632032839	0.547095255027	0.627098119665	0.265526303027	0.162655547265	0.136026340652	0.595993203957	0.354583549998	0.394480225938	0.530240607114	0.264051808994	0.401449861116	0.931223033266	0.862417397096	0.955737208387
HSPB6	ENSG00000004776	5.94987121478	5.48810729809	3.58086854054	2.48349358498	2.98618425287	4.73308427111	4.8207089028	3.2252135588	3.44294893511	2.13530910646	3.94448617109	4.85310822757	2.75672314794	2.61796694147	5.01013576174	2.55256838982	2.45786655365	4.74860123463	3.11462118145	2.93667904985	3.94388116103	4.72971043173	2.16032043794	3.542604558	4.96389238857	3.25548118208	5.02879990781	3.75088677594	1.90531982366	3.16693981183	3.78530251368	3.64455507203	3.30572088599	2.9292778746	3.78956529847	4.86242191623	2.40915810939	4.89342844988	4.79757208385	4.90124702897	3.68161139869	4.09577414984	5.07667540295	3.97587904812	2.87358702169	4.94651838511	2.76703803016	4.82723880025	4.70104770892	3.05685704925	3.03543364041	4.0561233494	3.00667221359	2.19722457734	4.71653265384	2.58776403523	2.20717490819	4.01476008288	3.02042488614	2.10535292346	3.72183055425	2.30258509299	4.49814161323	4.63171474121	4.54870564901	3.66022274486	3.67478052973	3.5951180743	4.68518212396	4.7468433443	4.68601257383	4.66457052927	3.56019344649	4.25660512501	4.8641440943	4.95314741422	4.85926962142	5.44802963978	5.32051907453	5.6418006823	4.51655752763	4.58057006912	4.65148108885	4.30433532696	4.38439881882	4.40915530206	4.99186013877	4.97300265262	4.95357099347	5.05948894831	4.89858579029	4.70962028734	4.93687983016	4.84061815927	4.8785604402	4.20228236482	4.27113851241	4.43410720689	4.32483855063	4.4268940241	4.44460704351	4.77544392929	4.73356947813	4.83969305538	4.83850468396	4.74474662072	4.80205331412	4.58066020496	4.88348983062	4.42601758303
