sym	gene_id_x	ln_expr_Vec_Tam_5_counts	ln_expr_N1ICD_Tam_6_counts	ln_expr_Vec_Tam_11_counts	ln_expr_Control_A3	ln_expr_DDIS_C3	ln_expr_Vec_Tam_4_counts	ln_expr_Vec_2_counts	ln_expr_N1ICD_Tam_1_counts	ln_expr_RIS_A2	ln_expr_DDIS_A2	ln_expr_N1ICD_12_counts	ln_expr_N1ICD_7_counts	ln_expr_Control_C2	ln_expr_N1ICD_2_counts	ln_expr_N1ICD_Tam_10_counts	ln_expr_Control_B1	ln_expr_Vec_Tam_1_counts	ln_expr_N1ICD_4_counts	ln_expr_RIS_C2	ln_expr_Control_A2	ln_expr_N1ICD_Tam_11_counts	ln_expr_Vec_10_counts	ln_expr_DDIS_A1	ln_expr_Vec_6_counts	ln_expr_DDIS_C1	ln_expr_RIS_A3	ln_expr_N1ICD_Tam_3_counts	ln_expr_Vec_12_counts	ln_expr_RIS_B2	ln_expr_RIS_B1	ln_expr_Vec_8_counts	ln_expr_Vec_Tam_3_counts	ln_expr_RIS_C1	ln_expr_Control_C1	ln_expr_N1ICD_Tam_9_counts	ln_expr_DDIS_A3	ln_expr_Control_C3	ln_expr_Control_A1	ln_expr_Vec_9_counts	ln_expr_RIS_C3	ln_expr_DDIS_C2	ln_expr_RIS_A1	ln_expr_N1ICD_8_counts	ln_expr_DDIS_B2	ln_expr_N1ICD_5_counts	ln_expr_Control_B2	ln_expr_DDIS_B1	ln_expr_Vec_Tam_7_counts	ln_C12.rna	ln_C3.rna	ln_Q.rna	ln_preS.rna	ln_S.rna	ln_Tr.rna	ln_C12.rp	ln_C3.rp	ln_Q.rp	ln_preS.rp	ln_S.rp	ln_Tr.rp	ln_BJ_Y1	ln_BJ_Y2	ln_BJ_Y3	ln_BJ_OLD_1	ln_BJ_OLD_2	ln_BJ_OLD_3	ln_IMR90_Y1	ln_IMR90_Y2	ln_IMR90_Y3	ln_IMR90_O1	ln_IMR90_O2	ln_IMR90_O3	ln_WI_38_Y1	ln_WI_38_Y2	ln_WI_38_Y3	ln_WI_38_O1	ln_WI_38_O2	ln_WI_38_O3	ln_HFF_PD16_1	ln_HFF_PD16_2	ln_HFF_PD16_3	ln_HFF_PD74_1	ln_HFF_PD74_2	ln_HFF_PD74_3	ln_MRC_5_PD32_1	ln_MRC_5_PD32_2	ln_MRC_5_PD32_3	ln_MRC_5_PD72_1	ln_MRC_5_PD72_2	ln_MRC_5_PD72_3	ln_HFF_PD26_1 	ln_HFF_PD26_2 	ln_HFF_PD26_3 	ln_HFF_PD46_1 	ln_HFF_PD46_2 	ln_HFF_PD46_3 	ln_HFF_PD64_1	ln_HFF_PD64_2	ln_HFF_PD64_3	ln_MRC_5_PD42_1 	ln_MRC_5_PD42_2 	ln_MRC_5_PD42_3 	ln_MRC_5_PD52_1 	ln_MRC_5_PD52_2 	ln_MRC_5_PD52_3 	ln_MRC_5_PD62_1	ln_MRC_5_PD62_2	ln_MRC_5_PD62_3	ln_baseMeanA_sum	ln_baseMeanB_sum
HSP90AA1	ENSG00000080824	5.87069011053	5.35371625977	5.94134813733	6.07399909842	6.17690646563	5.90753392854	6.10143468019	5.52488919711	5.64399374435	6.24959743558	5.24010033495	5.15098347899	5.86696327782	5.29808157284	5.38033524605	6.06144604442	5.82133229772	5.22594777406	5.81381620463	6.02134460813	5.43812806792	6.15664774327	5.80601631931	6.19488214592	6.22542998725	5.93212177206	5.47570912286	6.14114898637	5.83458713524	5.82813341585	6.16379797811	5.95749057561	5.72327110862	6.05459891329	5.45451400902	6.10373324436	6.11918291705	5.97722084348	5.97748133035	5.10731662044	6.39973409183	5.71465914747	5.17489186351	6.41765370555	5.19336637646	6.06494261917	6.26520804547	5.92133234825	6.76043786579	6.2135275148	6.22793884783	6.70683788643	6.0330862218	6.37191949221	7.63899753941	7.02517380377	6.91512803331	7.32571533245	6.96497646863	7.58774122926	5.30096386149	5.31772776007	5.31478109258	5.22397090442	5.24755024949	5.26362239675	5.62145103873	5.50934784998	5.56547780328	5.58574940774	5.28846903049	5.55047588293	6.03550535568	6.02427049883	6.0703681447	5.71962301488	5.78024956666	5.77218850732	5.64862206348	5.64325368158	5.61269005425	5.00300626693	4.92173121799	4.93476166152	5.39290000903	5.42261248582	5.46434015037	5.66066618358	5.61648014625	5.69987484983	5.21018971567	5.21525753355	5.24698245603	4.80923429277	4.85314781189	4.87856367738	4.72286664545	4.81076158192	4.81735976177	5.47278363578	5.5170161947	5.52961263614	5.55494364328	5.41954174155	5.49312799504	5.06463296263	5.03234528423	5.13169021101	4.35810970472	4.33890837371
SSH1	ENSG00000084112	4.42183336263	4.58090072982	4.38380516084	4.58027753397	4.49531778413	4.4183452621	4.57340719422	4.60410749816	4.65376282057	4.61902850335	4.96476571996	4.98602722449	4.78040576165	4.92156872332	4.70634879065	4.46025138764	4.44356832922	4.94407276404	4.64226668921	4.66815195971	4.75611143628	4.62369663421	4.64789941471	4.59641977279	4.5351359947	4.47827040772	4.70505723069	4.57198818281	4.64330349164	4.64275972027	4.66432528626	4.43103800317	4.68010057094	4.46317458775	4.66401068435	4.32060402311	4.57176567061	4.61809311066	4.62638875122	4.50384830098	4.58156949438	4.68897774135	4.95657847913	4.59740060036	4.92474286601	4.58035074308	4.65664967456	4.42444629693	3.10234200861	3.11971825333	3.30542042627	2.86676189226	2.57945896673	3.17763707685	1.42791603581	2.16676536985	2.40514168132	1.86097453825	1.63119940422	2.18267479632	2.98163334917	3.01602497682	3.02771531941	2.88368276975	2.89314568478	2.93119375242	3.01847176052	3.02334744059	2.9564715596	2.98971420123	3.4288125487	3.18387021567	3.09828886188	3.11484775444	3.03495298671	3.28616057167	3.30542042627	3.28241384567	2.93863268151	2.90526037039	2.90744735869	2.74727091426	2.80032547721	2.80396625793	3.11307076597	3.09240516081	2.98315349135	3.47196645255	3.33291854091	3.30578719686	2.73800603067	2.76979665931	2.73121960086	2.76619574564	2.75208999216	1.89968816434	2.69657563333	2.69226845319	2.74716620365	3.10912765396	3.03134592755	3.06287862681	2.97972911079	3.0948027695	3.11933900387	2.99446860196	2.32745600676	2.97638841365	7.01832789084	7.31175068807
CD59	ENSG00000085063	4.39322950897	4.68444288342	4.39751575081	3.96028901146	4.38568296076	4.41293220963	4.52738002474	4.85684466018	4.14675694834	4.31053650329	4.29656848731	4.40971132772	4.02680690284	4.26067967745	4.66199490674	3.84649615849	4.34417206024	4.31786479274	4.03791023327	3.88871262641	4.66332865818	4.49751795332	4.38920633147	4.57884998218	4.21575716323	4.15752200704	4.79117495415	4.52337048139	4.05908445621	4.09464376643	4.44228294485	4.46925257653	4.09375688521	3.91906747989	4.71209465976	4.3780504377	3.93901679221	3.90636232558	4.43379414298	4.13150762188	4.30899942363	4.06151066766	4.32726123594	4.33109064094	4.29935252751	3.90633225431	4.29880190486	4.35465378821	5.08202529018	6.15632199015	5.39712143561	5.29631536388	6.33215999626	6.12887590293	6.15288161978	6.9704953088	6.35200202186	6.29478618155	7.63961342741	7.02196750243	4.59824627092	4.58863421735	4.58700621536	4.62320654847	4.57933942595	4.60487014098	4.63860496207	4.60716818865	4.63666885305	4.63666885305	4.22756340601	4.67851358021	4.87443367292	4.85327948332	4.86953245312	4.68647363705	4.71438327096	4.7401380464	4.6594689594	4.66069949578	4.67972091725	4.54955176223	4.55828820009	4.56912841464	4.66325039706	4.70048036579	4.78815818733	5.05650054997	4.98175559455	5.08963130032	4.43951174314	4.40872564724	4.43972027217	4.09603337504	4.082294211	4.55229905737	4.04121629284	4.1345552581	4.15066866944	4.87249832464	4.90993925837	4.87690577518	4.8245936648	4.69929815817	4.79236630113	4.59366746563	4.90545467781	4.71379837339	1.22459224865	2.26412132648
ZFAND6	ENSG00000086666	3.75774548671	3.39217678486	3.60270082652	3.30435317084	3.56525450231	3.65773581918	3.3684102333	3.65244925383	3.39131339013	3.62692152651	3.28988591999	3.25993852188	3.00509508946	3.2563960626	3.28418158972	3.23335283288	3.57629290892	3.16189682295	3.45159564142	3.12745548536	3.25940924874	3.29672005935	3.35345142601	3.43878337934	3.72300851054	3.61264782818	3.49088278692	3.44719755902	3.4698292294	3.54982628759	3.4006443495	3.72302979851	3.37567646302	3.18515893453	3.3733029596	3.53807758873	3.32327065311	3.0478097331	3.29587108307	3.13152299877	3.68916627874	3.39349439509	3.20486436675	3.74997090136	3.2458334637	3.30283663032	3.60326442263	3.70414248014	3.26614101734	3.45789272534	3.64649373762	3.50285103539	3.73766961828	3.44808096756	3.72352239756	4.01602259545	3.99083418585	3.7096619933	4.18327077142	3.69783919549	2.54944517093	2.51930807651	2.5289235352	2.53369681396	2.53449014998	2.58550584834	2.61227324571	2.57337529778	2.62103882411	2.67276838696	2.76883167336	2.52572864431	2.60564826748	2.56725439114	2.64333388638	2.58776403523	2.62900699376	2.68580459215	2.54160199346	2.50143595174	2.58173083442	2.48657192911	2.35422832615	2.42657107278	2.56648663678	2.52972066558	2.60859812213	2.38967979984	2.46725171455	2.49155119251	2.37161687679	2.3974028061	2.43014220811	2.36241553224	2.32265992834	2.63309025556	2.28843537787	2.34994452749	2.38315634097	2.46811820164	2.47321231263	2.49971754416	2.47979463903	2.51622647253	2.45459326243	2.4369341696	2.58818826778	2.52905850217	0.326936554629	1.70283485266
ADAMTS2	ENSG00000087116	2.73315085452	4.74320102144	2.3277281947	3.73419790069	2.97798756181	2.62039393282	3.76417731014	4.79243190062	3.36220937654	2.99089770304	5.34527435613	5.24095806059	3.73057596591	5.38664749478	4.83517760335	3.6750084323	2.50474373882	5.35954575356	3.2887833463	3.71813010248	4.90722848088	3.51257377131	3.08744644486	3.62403626177	3.07643991363	3.30977346569	4.81266252224	3.59364716745	3.32723054864	3.40159055651	3.64538930465	2.61226627358	3.46166337835	3.58575556463	4.88044634887	3.21697571248	3.64060893514	3.68484569866	3.56766929187	3.39240824389	2.64042421592	3.37285795554	5.36141353721	2.65492031962	5.42256999646	3.62314060547	2.85809936066	2.45667099886	2.16447179086	3.27563415869	1.65057985577	1.32972400963	1.22377543162	2.73046379594	2.31550131826	2.8797600973	1.79009141213	0.770108221696	0.76546784214	2.29757255117	3.85777799058	3.91760738372	3.9237539283	3.72785975375	3.78077471882	3.78555234137	2.75238601492	2.76757618042	2.778197961	2.72261035243	1.6134299337	2.02814824729	2.92852352386	2.97195174489	2.96217549003	1.95160817017	1.91397710195	1.89009536995	3.14199478053	3.15572300986	3.12500460926	2.73825604316	2.92316158072	2.88703285663	2.95178038602	2.8797600973	2.81060678943	2.76757618042	2.66930937279	2.62539296742	3.37405955126	3.38229414022	3.35129728369	3.70441492853	3.68937817723	3.23441513123	3.79576643815	3.65341602757	3.59480224024	3.19014062857	3.18902415733	3.15285528448	3.36672876579	3.31974272908	3.38577577732	3.20029781049	2.98440115573	3.10450139052	6.45383068256	4.88401389332
SLC4A11	ENSG00000088836	0.80789158616	-0.409048301463	0.757366044866	0.00359092124731	0.578254528098	0.673915669261	-0.460213827211	-0.908250297979	0.0476694130582	0.528893956605	0.663224035528	1.00168692286	-0.262222565637	0.505807433067	-1.22766530768	-0.20322913985	0.961267027837	0.692157861253	0.24652546967	-0.0643214392734	-0.525008719264	-0.054806663884	0.760175292391	-0.449581676524	0.885663118919	0.213603774763	-0.874150965601	-0.042063111623	0.359501603906	0.61867908999	0.114885266498	0.675840262425	0.323626388727	-0.0465329271975	-0.576701262744	0.88347401026	-0.506703846501	-0.101090167185	0.0516610029841	0.457730639654	0.959742223633	0.430508704355	0.599579913056	0.780976873336	0.754310293019	-0.523081068593	0.86218534415	0.45057195729	0.329303747143	0.598836501089	0.582215619853	0.30010459245	0.398776119957	1.39376637596	0.593326845278	0.698134722071	0.774727167552	0.93609335917	0.688134638736	1.6114359151	-0.0202027073175	0.0295588022415	-0.0202027073175	0.774727167552	0.779324876801	0.845868267578	-0.843970070295	-0.798507696218	-0.579818495253	-0.798507696218	1.08518926834	0.883767540169	-0.446287102628	-0.462035459597	-0.527632742082	0.824175442966	0.712949807856	0.506817602368	-0.0100503358535	0.0953101798043	0.104360015324	0.672944473242	0.620576487725	0.657520002917	-0.0512932943876	-0.287682072452	-0.0833816089391	0.751416088684	0.891998039305	0.76546784214	0.229627916702	0.062948264537	0.228137764246	0.217517423899	0.245690538818	0.0877490023771	0.34108675121	0.206962329016	0.252026237662	-0.150005917733	-0.105243173654	-0.0673177053615	-0.274303238838	-0.230690277603	-0.173641830837	0.209658666366	0.210094022577	0.215036892165	1.49846526572	0.0611744279123
DYNLL1	ENSG00000088986	5.63837725377	5.91813967214	5.64818874118	5.77627820759	5.57815057082	5.62435112714	5.65035825006	6.02494632553	5.43378662579	5.47111070269	5.54445472203	5.61455735321	5.83211791569	5.30874091766	5.50107120267	5.8558406736	5.63155383025	5.48541726572	5.48371456114	5.81502422144	5.63267589165	5.6488699115	5.59689908126	5.62901875021	5.53725958458	5.71375908057	5.90323800996	5.59793573923	5.44986394832	5.49281832593	5.61081955092	5.66404059607	5.52879964511	5.90699384304	5.75151182628	5.60726638589	5.89960117787	5.80702065993	5.58194579406	5.77843280225	5.52977336153	5.52736333813	5.50272972708	5.62185036461	5.38642386067	5.81033455911	5.4401094726	5.61671284675	5.34022676963	5.58997900999	5.14772700792	5.44729755956	5.79115212079	5.54126354516	5.84724769635	6.40226539481	5.33136522059	6.08709285812	6.01114461787	6.14910911619	4.20886301566	4.26282071219	4.24319550895	4.17669230357	4.16309295938	4.1455128488	4.19162250169	4.17914516391	4.20707783221	4.19268046294	3.97893371071	4.21346004311	4.38788444416	4.34432476749	4.40525476079	4.09016919081	4.1426584225	4.19116874686	4.08731994729	4.10462487163	4.11659517116	4.01259206035	3.97556102623	3.97255350517	4.09600984154	4.0883264899	4.21094170981	4.1183865567	4.09117287106	4.19222718802	4.02594687697	3.98802582428	4.07388896222	4.02017029008	4.07160401964	4.87342925957	3.8396098533	3.96274655635	4.00747716523	4.06224441962	4.10503916917	4.14301762811	4.21495108069	4.06273358569	4.11456358729	3.98406565776	4.40996914282	4.01271300547	3.01006206148	3.32932175
KDM2B	ENSG00000089094	1.78036820316	1.64405512599	1.85567585088	1.70743933762	1.50209871982	1.77656387687	1.65607310762	1.66229190913	1.70474176463	1.305640725	1.28412272379	1.41998254791	1.80899608379	1.33335963996	1.77478912111	1.845758404	1.73897645875	1.35004937209	1.64487844496	1.81172751088	1.75822799231	1.83768461657	1.34210034123	1.72983035165	1.4321339374	1.64827359025	1.71971304084	1.82344854078	1.69888125941	1.68009222482	1.79445454971	1.68012377975	1.4881237573	1.68135914111	1.69136065081	1.29340138564	1.7459494417	1.70272791621	1.97218045616	1.82412882422	1.48773676594	1.75740271566	1.27415571301	1.39888555229	1.22194872111	1.55344263306	1.57467772268	1.75284092129	2.50878592358	1.87487437594	2.39059597032	2.31451366386	1.30562645805	2.27006190129	1.77664583142	1.6114359151	2.32434658478	1.72097928717	0.620576487725	2.06432790387	0.392042087776	0.45107561936	0.371563556432	0.30010459245	0.254642218374	0.262364264467	0.770108221696	0.708035793054	0.688134638736	0.641853886172	0.292669613963	0.0676586484738	0.598836501089	0.576613364304	0.604315966853	0.246860077932	0.173953307123	0.148420005118	0.542324290825	0.559615787935	0.54812140851	-0.116533816256	-0.0943106794712	-0.0618754037181	0.647103242059	0.587786664902	0.604315966853	0.292669613963	0.336472236621	0.254642218374	0.322265602153	0.316859535245	0.273094261599	0.206498431536	0.194215346916	-0.194326896969	0.0482900820063	-0.00176193229148	-0.0411403483144	0.598619265956	0.611415328502	0.614805068304	0.725025406392	0.723890332154	0.640824988091	0.57072494073	0.264606309206	0.450494835451	3.9475781577	3.46163897286
