sym	enstxids	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
NFIL3	ENST00000375724	7.22	6.65	10.62	9.96	10.07	20.04	6.0	7.13	9.16	4.34	10.45	18.85
NFIX	ENST00000397661	24.12	26.22	25.2	9.43	3.87	5.31	23.48	19.1	30.71	6.1	2.3	4.5
NFKB2	ENST00000369966	10.86	12.81	18.9	12.52	27.52	36.56	20.72	14.38	35.16	20.25	31.68	34.67
NFKBIA	ENST00000216797	19.29	15.17	15.5	18.44	18.02	58.17	27.73	32.04	28.6	28.77	24.24	86.35
NFKBIZ	ENST00000326172	5.89	6.28	3.22	6.77	28.07	25.55	7.17	6.34	5.64	33.52	40.39	28.35
NFU1	ENST00000410022	19.94	18.42	17.38	27.09	32.05	26.31	33.16	41.48	23.84	31.73	68.98	38.71
NGFRAP1	ENST00000372645	159.59	162.82	205.61	201.94	287.35	161.18	241.97	438.37	259.24	251.56	350.07	390.09
NHP2	ENST00000274606	91.61	49.64	74.42	100.67	68.36	72.2	83.37	76.24	59.35	80.43	52.5	79.65
NINJ1	ENST00000375446	29.53	24.44	24.51	21.77	32.14	43.12	8.01	30.44	25.2	8.75	18.56	33.56
NIPA2	ENST00000337451	31.7	32.39	27.31	35.3	40.71	33.22	15.37	16.67	11.47	18.39	31.55	11.28
NIPBL	ENST00000282516	10.66	9.4	10.28	9.07	4.64	6.32	5.48	7.44	7.31	6.94	5.29	10.43
NIPSNAP3A	ENST00000374767	6.39	16.68	7.47	6.87	25.06	7.4	11.63	27.78	11.8	10.57	35.17	9.12
NIT1	ENST00000368007	8.75	9.28	9.24	10.59	17.31	12.44	13.02	15.04	17.38	23.35	27.03	12.07
NLRP10	ENST00000328600	2.26	4.25	2.01	1.84	4.55	1.0	9.4	12.06	7.87	4.17	15.24	1.42
NMB	ENST00000394588	3.21	6.19	3.45	3.56	6.18	4.06	2.03	13.77	9.97	21.96	12.53	8.93
NMD3	ENST00000472947	20.65	21.88	23.41	27.25	28.82	21.36	33.13	49.43	30.8	21.9	68.07	41.27
NME1	ENST00000336097	86.55	52.02	71.6	121.21	86.74	90.97	200.06	87.22	112.53	159.86	139.85	145.45
NME3	ENST00000219302	17.66	20.76	21.34	18.3	15.99	23.29	40.14	36.82	57.46	44.63	19.09	24.57
