length,cut-off
600,6.42751369932e-26
700,1.04275775254e-29
800,8.50883024987e-34
900,1.20908703014e-37
1000,9.68653700303e-42
1250,9.65744081043e-52
1500,5.23902263702e-62
1750,1.91075312468e-72
2000,3.52459765458e-83
2250,9.58852558553e-94
2500,4.4741978882e-105
2750,1.94820229159e-116
3000,8.13905594848e-128
