,biocarta,chr,cluster length max,cluster length mean,cluster length median,cluster length min,clusters,conductance max data/red-new-alt/net_exp_final.txt,conductance max data/red-new-alt/net_mirna_final.txt,conductance max data/red-new-alt/net_ppi_unique_nodes_int.txt,conductance max data/red-new-alt/net_tf_final.txt,conductance mean data/red-new-alt/net_exp_final.txt,conductance mean data/red-new-alt/net_mirna_final.txt,conductance mean data/red-new-alt/net_ppi_unique_nodes_int.txt,conductance mean data/red-new-alt/net_tf_final.txt,conductance median data/red-new-alt/net_exp_final.txt,conductance median data/red-new-alt/net_mirna_final.txt,conductance median data/red-new-alt/net_ppi_unique_nodes_int.txt,conductance median data/red-new-alt/net_tf_final.txt,conductance min data/red-new-alt/net_exp_final.txt,conductance min data/red-new-alt/net_mirna_final.txt,conductance min data/red-new-alt/net_ppi_unique_nodes_int.txt,conductance min data/red-new-alt/net_tf_final.txt,cp,go,kegg,mir,modularity data/red-new-alt/net_exp_final.txt,modularity data/red-new-alt/net_mirna_final.txt,modularity data/red-new-alt/net_ppi_unique_nodes_int.txt,modularity data/red-new-alt/net_tf_final.txt,reactome
data/red-new-alt/multi_cluster/clusters_a_0800_phi_0600.txt,0.0,0.0,2683,670.2,357.0,6,10,1.0,1.0,1.0,1.0,0.819412169253,0.906137671036,0.786451297916,0.848000954058,0.875171811825,0.958687434628,0.893367533895,0.929394637639,0.377178599623,0.661266042406,0.423988465351,0.335790833777,0.2,0.9,0.0,0.2,0.0145654134904,-0.0625241642658,0.0379304880652,-0.00258631913448,0.2
data/red-new-alt/multi_cluster/clusters_a_0999_phi_1000.txt,0.037037037037,0.222222222222,2559,247.925925926,5.0,2,27,1.0,1.0,1.0,1.0,0.829117593369,0.815838740005,0.779620431285,0.801001123452,1.0,1.0,0.870967741935,0.862068965517,0.0,0.0,0.0,0.0,0.259259259259,0.851851851852,0.148148148148,0.037037037037,0.0121747915097,-0.0761197453797,0.0415225931727,-0.000263646994088,0.222222222222
data/red-new-alt/multi_cluster/clusters_a_0800_phi_0350.txt,0.0,0.0,2683,670.2,357.0,4,10,1.0,1.0,1.0,1.0,0.82411436361,0.906512746601,0.776451297916,0.848009655693,0.898682783612,0.957167226714,0.893367533895,0.929438145812,0.377178599623,0.661266042406,0.423988465351,0.335790833777,0.2,0.9,0.0,0.2,0.0145651823889,-0.0633065294534,0.0379302896582,-0.00258643473838,0.2
data/red-new-alt/multi_cluster/clusters_a_0990_phi_1000.txt,0.0857142857143,0.114285714286,2560,191.314285714,16.0,2,35,1.0,1.0,1.0,1.0,0.896357609225,0.92996590828,0.834640354619,0.881210475525,1.0,1.0,0.888888888889,0.963963963964,0.0,0.0,0.0,0.0,0.4,0.885714285714,0.2,0.171428571429,0.011052798923,-0.0671037531959,0.0418706846004,3.65873095732e-05,0.371428571429
data/red-new-alt/multi_cluster/clusters_a_0980_phi_2000.txt,0.0357142857143,0.142857142857,2551,239.142857143,18.5,2,28,1.0,1.0,1.0,1.0,0.897196590763,0.917033014714,0.821285297345,0.902818362436,1.0,1.0,0.927073292338,0.977364420824,0.0,0.0,0.0,0.444471994931,0.357142857143,0.892857142857,0.214285714286,0.107142857143,0.0105926470574,-0.0726866770949,0.0411703227052,0.00115549919568,0.285714285714
data/red-new-alt/multi_cluster/clusters_a_0950_phi_2000.txt,0.136363636364,0.0909090909091,2528,304.409090909,14.5,2,22,1.0,1.0,1.0,1.0,0.786894719769,0.953998121083,0.862841633103,0.899938017312,0.975952277388,1.0,0.894106670813,0.973357264989,0.0,0.508767786503,0.458218736206,0.431650536228,0.363636363636,0.909090909091,0.136363636364,0.136363636364,0.00998037275125,-0.0710741558824,0.0401713436801,-0.0003539030016,0.227272727273
data/red-new-alt/multi_cluster/clusters_a_0980_phi_0350.txt,0.0434782608696,0.130434782609,2551,291.260869565,27.0,2,23,1.0,1.0,1.0,1.0,0.884587819805,0.898749601557,0.790408254505,0.88150321264,0.988700564972,0.993340270552,0.909090909091,0.944574717544,0.0,0.0,0.0,0.445579400322,0.391304347826,0.913043478261,0.260869565217,0.0869565217391,0.0107212636937,-0.0711602094791,0.0412561750466,0.000770280064012,0.304347826087
data/red-new-alt/multi_cluster/clusters_a_0950_phi_3000.txt,0.136363636364,0.0454545454545,2528,304.409090909,14.5,2,22,1.0,1.0,1.0,1.0,0.786889541534,0.953998121083,0.862841633103,0.900186575538,0.975895316804,1.0,0.894106670813,0.973030767417,0.0,0.508767786503,0.458218736206,0.431650536228,0.363636363636,0.909090909091,0.136363636364,0.136363636364,0.00998069322885,-0.0710742327559,0.0401713436801,-0.000298922188888,0.227272727273
data/red-new-alt/multi_cluster/clusters_a_0999_phi_0500.txt,0.0857142857143,0.114285714286,2560,191.314285714,16.0,2,35,1.0,1.0,1.0,1.0,0.896357609225,0.92996590828,0.834644035716,0.881210475525,1.0,1.0,0.888888888889,0.963963963964,0.0,0.0,0.0,0.0,0.4,0.885714285714,0.2,0.171428571429,0.011052798923,-0.0671037531959,0.0418707280746,3.65873095732e-05,0.371428571429
data/red-new-alt/multi_cluster/clusters_a_0800_phi_0300.txt,0.0,0.0,2683,670.2,357.0,4,10,1.0,1.0,1.0,1.0,0.82411436361,0.906512746601,0.776451297916,0.848009655693,0.898682783612,0.957167226714,0.893367533895,0.929438145812,0.377178599623,0.661266042406,0.423988465351,0.335790833777,0.2,0.9,0.0,0.2,0.0145651823889,-0.0633065294534,0.0379302896582,-0.00258643473838,0.2
