,biocarta,chr,cluster length max,cluster length mean,cluster length median,cluster length min,clusters,cp,go,kegg,mir,modularity data/full-new/net_exp_final.txt,modularity data/full-new/net_mirna_final.txt,modularity data/full-new/net_ppi_unique_nodes_int.txt,modularity data/full-new/net_tf_final.txt,reactome
data/full-new/multi_cluster/clusters_a_0990_phi_0350.txt,0.0571428571429,0.171428571429,3428,307.2,27.0,2,35,0.457142857143,0.942857142857,0.314285714286,0.257142857143,0.00937818711186,-0.0576131960068,0.0319312173231,-0.000601783556008,0.342857142857
data/full-new/multi_cluster/clusters_a_0900_phi_4000.txt,0.0555555555556,0.111111111111,3101,597.555555556,121.0,2,18,0.222222222222,0.888888888889,0.222222222222,0.111111111111,0.00729232912932,-0.0686125627289,0.0313849662539,-0.000183370315418,0.222222222222
data/full-new/multi_cluster/clusters_a_0999_phi_4000.txt,0.108695652174,0.195652173913,3428,233.673913043,9.0,2,46,0.45652173913,0.934782608696,0.239130434783,0.217391304348,0.00938603677796,-0.0573615669079,0.0317163154184,-2.16801573508e-05,0.369565217391
data/full-new/multi_cluster/clusters_a_0980_phi_0250.txt,0.105263157895,0.105263157895,3337,566.105263158,97.0,2,19,0.421052631579,0.789473684211,0.263157894737,0.263157894737,0.00984527706571,-0.0649033582409,0.0326598134376,-0.00128910804534,0.315789473684
data/full-new/multi_cluster/clusters_a_0990_phi_0800.txt,0.0851063829787,0.191489361702,3428,228.723404255,9.0,2,47,0.446808510638,0.957446808511,0.31914893617,0.255319148936,0.00939477447346,-0.0573571249883,0.0317469889289,-1.76957006522e-05,0.31914893617
data/full-new/multi_cluster/clusters_a_0950_phi_0500.txt,0.0526315789474,0.157894736842,3082,566.052631579,74.0,2,19,0.368421052632,0.894736842105,0.210526315789,0.105263157895,0.00948864027973,-0.0729718606436,0.0323918701386,-0.000826919137139,0.368421052632
data/full-new/multi_cluster/clusters_a_0990_phi_0400.txt,0.0588235294118,0.205882352941,3428,316.205882353,30.5,2,34,0.441176470588,0.941176470588,0.294117647059,0.205882352941,0.00940695909797,-0.0576242303724,0.0319452977108,-0.000384071202403,0.352941176471
data/full-new/multi_cluster/clusters_a_0900_phi_0300.txt,0.0625,0.125,3101,672.3125,214.5,2,16,0.25,1.0,0.25,0.125,0.00727639720806,-0.0686065843815,0.0313771841313,-0.000165238436046,0.25
data/full-new/multi_cluster/clusters_a_0980_phi_0600.txt,0.111111111111,0.111111111111,3337,597.555555556,99.5,2,18,0.444444444444,0.833333333333,0.222222222222,0.222222222222,0.00989032789143,-0.0655033914516,0.0326746262146,-0.00143394109908,0.388888888889
data/full-new/multi_cluster/clusters_a_0999_phi_0300.txt,0.0571428571429,0.171428571429,3428,307.2,27.0,2,35,0.457142857143,0.942857142857,0.314285714286,0.257142857143,0.00937818711186,-0.0576131960068,0.0319312173231,-0.000601783556008,0.342857142857
data/full-new/multi_cluster/clusters_a_0999_phi_0350.txt,0.0571428571429,0.171428571429,3428,307.2,27.0,2,35,0.457142857143,0.942857142857,0.314285714286,0.257142857143,0.00937818711186,-0.0576131960068,0.0319312173231,-0.000601783556008,0.342857142857
data/full-new/multi_cluster/clusters_a_0950_phi_1500.txt,0.0769230769231,0.153846153846,3082,413.5,11.5,2,26,0.384615384615,0.923076923077,0.230769230769,0.153846153846,0.00937719797913,-0.0728165831475,0.0321394171101,-0.00108483088498,0.307692307692
data/full-new/multi_cluster/clusters_a_0999_phi_1500.txt,0.108695652174,0.195652173913,3428,233.673913043,9.0,2,46,0.45652173913,0.934782608696,0.239130434783,0.217391304348,0.00938603677796,-0.0573615669079,0.0317163154184,-2.16801573508e-05,0.369565217391
data/full-new/multi_cluster/clusters_a_0999_phi_0800.txt,0.108695652174,0.195652173913,3428,233.673913043,9.0,2,46,0.45652173913,0.934782608696,0.239130434783,0.217391304348,0.00938603677796,-0.0573615669079,0.0317163154184,-2.16801573508e-05,0.369565217391
data/full-new/multi_cluster/clusters_a_0800_phi_1500.txt,0.142857142857,0.0714285714286,3688,768.428571429,184.5,2,14,0.428571428571,1.0,0.214285714286,0.5,0.0215589464896,-0.0752860244688,0.0318824780458,-0.00138063161639,0.285714285714
data/full-new/multi_cluster/clusters_a_0950_phi_0400.txt,0.0526315789474,0.157894736842,3082,566.052631579,74.0,2,19,0.368421052632,0.894736842105,0.210526315789,0.105263157895,0.00948864027973,-0.0729718606436,0.0323918701386,-0.000826919137139,0.368421052632
data/full-new/multi_cluster/clusters_a_0950_phi_1000.txt,0.166666666667,0.166666666667,3082,358.1,10.5,2,30,0.533333333333,0.933333333333,0.2,0.1,0.00938192496182,-0.0729062731126,0.0321167123974,-0.0010128677244,0.4
data/full-new/multi_cluster/clusters_a_0999_phi_3000.txt,0.108695652174,0.195652173913,3428,233.673913043,9.0,2,46,0.45652173913,0.934782608696,0.239130434783,0.217391304348,0.00938603677796,-0.0573615669079,0.0317163154184,-2.16801573508e-05,0.369565217391
data/full-new/multi_cluster/clusters_a_0980_phi_0400.txt,0.111111111111,0.111111111111,3337,597.555555556,99.5,2,18,0.444444444444,0.833333333333,0.222222222222,0.222222222222,0.00989191266032,-0.0655033914516,0.0326744425295,-0.00141739187832,0.388888888889
data/full-new/multi_cluster/clusters_a_0990_phi_4000.txt,0.108695652174,0.195652173913,3428,233.673913043,9.0,2,46,0.45652173913,0.934782608696,0.239130434783,0.217391304348,0.00938603677796,-0.0573615669079,0.0317163154184,-2.16801573508e-05,0.369565217391
data/full-new/multi_cluster/clusters_a_0990_phi_1500.txt,0.0816326530612,0.204081632653,3428,219.367346939,9.0,2,49,0.469387755102,0.959183673469,0.30612244898,0.244897959184,0.00936535961459,-0.0573277885005,0.0318710449394,1.03440746364e-05,0.326530612245
data/full-new/multi_cluster/clusters_a_0800_phi_0500.txt,0.153846153846,0.0769230769231,3688,827.538461538,209.0,2,13,0.384615384615,0.923076923077,0.230769230769,0.538461538462,0.0215589235874,-0.0752830769682,0.0318824598753,-0.00138063161639,0.307692307692
data/full-new/multi_cluster/clusters_a_0800_phi_0400.txt,0.166666666667,0.0833333333333,3688,896.5,401.5,2,12,0.5,0.916666666667,0.25,0.583333333333,0.0215587691709,-0.0752950566221,0.0318824241832,-0.00138065174594,0.416666666667
data/full-new/multi_cluster/clusters_a_0900_phi_1000.txt,0.0555555555556,0.111111111111,3101,597.555555556,121.0,2,18,0.222222222222,0.888888888889,0.222222222222,0.111111111111,0.00729232912932,-0.0686125627289,0.0313849662539,-0.000183370315418,0.222222222222
data/full-new/multi_cluster/clusters_a_0999_phi_0400.txt,0.108695652174,0.195652173913,3428,233.673913043,9.0,2,46,0.45652173913,0.934782608696,0.239130434783,0.217391304348,0.00938603677796,-0.0573615669079,0.0317163154184,-2.16801573508e-05,0.369565217391
data/full-new/multi_cluster/clusters_a_0800_phi_3000.txt,0.142857142857,0.0714285714286,3688,768.428571429,184.5,2,14,0.428571428571,1.0,0.214285714286,0.5,0.0215589464896,-0.0752860244688,0.0318824780458,-0.00138063161639,0.285714285714
data/full-new/multi_cluster/clusters_a_0800_phi_0600.txt,0.153846153846,0.0769230769231,3688,827.538461538,209.0,2,13,0.384615384615,0.923076923077,0.230769230769,0.538461538462,0.0215589235874,-0.0752830769682,0.0318824598753,-0.00138063161639,0.307692307692
data/full-new/multi_cluster/clusters_a_0999_phi_1000.txt,0.108695652174,0.195652173913,3428,233.673913043,9.0,2,46,0.45652173913,0.934782608696,0.239130434783,0.217391304348,0.00938603677796,-0.0573615669079,0.0317163154184,-2.16801573508e-05,0.369565217391
data/full-new/multi_cluster/clusters_a_0800_phi_0350.txt,0.166666666667,0.0833333333333,3688,896.5,401.5,2,12,0.5,0.916666666667,0.25,0.583333333333,0.0215587691709,-0.0752950566221,0.0318824241832,-0.00138065174594,0.416666666667
