alpha	Links	p-value	nodes	density
0.005	515	0.0107388961742	164	0.0385306000299
0.01	5241	3.82397278179e-42	551	0.0345883517571
0.02	18173	1.82715744081e-231	1971	0.00936060182288
0.03	34932	0.0	3627	0.00531224494358
0.05	93743	0.0	6526	0.00440292469967
0.1	710990	0.0	12914	0.00852718244341
0.2	12531981	0.0	13094	0.146196918565
0.3	37573155	2.40940276663e-308	13094	0.438324913018
0.4	59435835	8.57952659303e-203	13094	0.693372893667
0.5	74153830	8.17990921319e-111	13094	0.865071647156
