alpha	Links	p-value	nodes	density
0.005	14135	0.0387947552177	657	0.0655928648328
0.01	21644	4.89651950796e-07	907	0.0526783345624
0.02	35712	3.78900478261e-24	1354	0.0389877082603
0.03	49154	4.03361285662e-35	1752	0.0320456151605
0.05	78682	4.83577169641e-62	2291	0.029994720179
0.1	172351	6.51226772513e-89	3453	0.0289185449769
0.2	490091	9.34373519996e-264	5740	0.0297549075857
0.3	791542	0.0	5742	0.0480234354064
0.4	2348498	0.0	6519	0.110541372656
0.5	3261031	0.0	6519	0.153493357463
