,biocarta,chr,cluster length max,cluster length mean,cluster length median,cluster length min,clusters,conductance max data/red-sd/net_exp_final.txt,conductance max data/red-sd/net_mirna_final.txt,conductance max data/red-sd/net_ppi_unique_nodes_int.txt,conductance max data/red-sd/net_tf_final.txt,conductance mean data/red-sd/net_exp_final.txt,conductance mean data/red-sd/net_mirna_final.txt,conductance mean data/red-sd/net_ppi_unique_nodes_int.txt,conductance mean data/red-sd/net_tf_final.txt,conductance median data/red-sd/net_exp_final.txt,conductance median data/red-sd/net_mirna_final.txt,conductance median data/red-sd/net_ppi_unique_nodes_int.txt,conductance median data/red-sd/net_tf_final.txt,conductance min data/red-sd/net_exp_final.txt,conductance min data/red-sd/net_mirna_final.txt,conductance min data/red-sd/net_ppi_unique_nodes_int.txt,conductance min data/red-sd/net_tf_final.txt,cp,go,kegg,mir,modularity data/red-sd/net_exp_final.txt,modularity data/red-sd/net_mirna_final.txt,modularity data/red-sd/net_ppi_unique_nodes_int.txt,modularity data/red-sd/net_tf_final.txt,reactome
data/red-sd/multi_cluster/clusters_a_0950_phi_0800.txt,0.0833333333333,0.0,201,50.5833333333,27.0,3,12,0.5,0.5,0.5,0.5,0.471751557248,0.483815121821,0.397298854326,0.43169290876,0.490444906882,0.492802288388,0.401925518409,0.476395850879,0.34967523801,0.443253373313,0.25,0.0,0.0833333333333,0.75,0.0,0.333333333333,0.0394345150343,-0.0204672440746,0.21732275791,-0.00678944654935,0.0833333333333
data/red-sd/multi_cluster/clusters_a_0600_phi_0500.txt,0.0,0.25,421,151.75,90.0,6,4,0.5,0.5,0.5,0.5,0.406337617031,0.389989488567,0.360989365131,0.272236290793,0.450685814771,0.498278601695,0.394392523364,0.294472581585,0.223978838583,0.063400750878,0.155172413793,0.0,0.0,0.25,0.0,0.0,0.00844182615003,-0.00118823840787,0.118564835773,0.00478636413271,0.0
data/red-sd/multi_cluster/clusters_a_0980_phi_0250.txt,0.0,0.0,202,75.875,70.5,3,8,0.5,0.5,0.5,0.5,0.457372559385,0.476431069708,0.402615844954,0.403288375831,0.469454674362,0.483479615783,0.388960651828,0.453172337416,0.345852757498,0.4467039801,0.321678321678,0.0,0.125,0.875,0.0,0.125,0.0404148136114,-0.035211919265,0.214296941804,-0.00665139001592,0.125
data/red-sd/multi_cluster/clusters_a_0600_phi_1000.txt,0.2,0.2,421,121.4,7.0,1,5,0.5,0.5,0.5,0.5,0.42533096319,0.411991590854,0.386291492104,0.317789032634,0.491304347826,0.5,0.4375,0.450030376671,0.223978838583,0.063400750878,0.155172413793,0.0,0.2,0.4,0.0,0.0,0.00841193535145,-0.00118797418429,0.118593129118,0.00478685178915,0.2
data/red-sd/multi_cluster/clusters_a_0950_phi_0600.txt,0.125,0.0,201,75.875,74.5,4,8,0.5,0.5,0.447368421053,0.5,0.457736907106,0.475019208742,0.370844593682,0.402843271882,0.467312251829,0.485647317942,0.37006514015,0.457681772908,0.34967523801,0.443253373313,0.25,0.0,0.125,0.875,0.0,0.125,0.0386730803667,-0.0277010818704,0.221546325638,-0.00785674735782,0.125
data/red-sd/multi_cluster/clusters_a_0950_phi_0250.txt,0.125,0.0,201,75.875,74.5,4,8,0.5,0.5,0.447368421053,0.5,0.457736907106,0.475019208742,0.370844593682,0.402843271882,0.467312251829,0.485647317942,0.37006514015,0.457681772908,0.34967523801,0.443253373313,0.25,0.0,0.125,0.875,0.0,0.125,0.0386730803667,-0.0277010818704,0.221546325638,-0.00785674735782,0.125
data/red-sd/multi_cluster/clusters_a_0980_phi_0350.txt,0.0,0.0,202,75.875,70.5,3,8,0.5,0.5,0.5,0.5,0.457372559385,0.476431069708,0.402615844954,0.403288375831,0.469454674362,0.483479615783,0.388960651828,0.453172337416,0.345852757498,0.4467039801,0.321678321678,0.0,0.125,0.875,0.0,0.125,0.0404148136114,-0.035211919265,0.214296941804,-0.00665139001592,0.125
data/red-sd/multi_cluster/clusters_a_0990_phi_0300.txt,0.0,0.125,193,75.875,76.0,1,8,0.5,0.5,0.451612903226,0.5,0.456250714652,0.476471738842,0.341522632634,0.340222217265,0.470023074491,0.484945154684,0.37332429291,0.436327127335,0.345469477142,0.445767353256,0.0,0.0,0.125,0.875,0.0,0.125,0.0486536977698,-0.0372511423064,0.212442155827,-0.00311382321296,0.125
data/red-sd/multi_cluster/clusters_a_0900_phi_0250.txt,0.0,0.0,289,121.4,96.0,14,5,0.5,0.5,0.466666666667,0.5,0.431978521125,0.440926351309,0.353675823417,0.433759872204,0.453901506634,0.49299719888,0.337164750958,0.484280532044,0.341351034752,0.228780457561,0.269900497512,0.34178549287,0.2,0.8,0.2,0.0,0.0297133812389,-0.0266262958141,0.16046885217,-0.0054600080119,0.0
data/red-sd/multi_cluster/clusters_a_0900_phi_0300.txt,0.0,0.0,289,121.4,96.0,14,5,0.5,0.5,0.466666666667,0.5,0.431978521125,0.440926351309,0.353675823417,0.433759872204,0.453901506634,0.49299719888,0.337164750958,0.484280532044,0.341351034752,0.228780457561,0.269900497512,0.34178549287,0.2,0.8,0.2,0.0,0.0297133812389,-0.0266262958141,0.16046885217,-0.0054600080119,0.0
