alpha	Links	p-value	nodes	density
0.005	25	0.567891752405	29	0.0615763546798
0.01	41	0.335323856512	46	0.03961352657
0.02	217	0.902111186591	183	0.0130306851618
0.03	1006	0.351174440391	388	0.0133993979595
0.05	4131	0.000999070671384	506	0.0323327984972
0.1	16528	1.52754317418e-07	557	0.106738307738
0.2	42804	1.89573059916e-06	585	0.250579557429
0.3	64302	1.82769471086e-06	586	0.375146582655
0.4	81466	7.50986381242e-06	598	0.456384486535
0.5	98063	0.000358349676419	599	0.547529047856
