,biocarta entry,biocarta p,chr entry,chr p
0,BIOCARTA_PROTEASOME_PATHWAY,0.0477714813165,chr6p21,0.00779053567592
1,BIOCARTA_PML_PATHWAY,0.00273039336145,chr6p21,6.30728731974e-07
2,,,chr10p14,0.0666071429912
3,,,chr7p21,0.0408805979432
4,BIOCARTA_SPPA_PATHWAY,0.000478526159512,chr6p21,9.58491247346e-05
5,BIOCARTA_PML_PATHWAY,0.0406273985178,chr3q12,0.114365141882
6,BIOCARTA_MCM_PATHWAY,0.0116274483359,chr6p21,2.48486938095e-05
7,,,chr18q12,0.0334851568674
8,,,chr2p24,0.193758540929
9,BIOCARTA_MAPK_PATHWAY,0.120069913341,chr21q22,0.00126543245322
10,BIOCARTA_IL22BP_PATHWAY,0.0687445556163,chr17q,0.0687445556163
11,BIOCARTA_ERK5_PATHWAY,0.0387188898272,chr3p12,0.0837377792685
12,BIOCARTA_AGR_PATHWAY,9.82477215558e-05,chr12q15,0.0516032829159
13,BIOCARTA_MAL_PATHWAY,0.0181806280991,chr3q25,0.0792548696206
14,BIOCARTA_PTEN_PATHWAY,4.27603596523e-06,chr10q25,0.0119239283998
15,BIOCARTA_MCALPAIN_PATHWAY,0.00657181053544,chr6p21,3.48543659779e-11
