"","V1","V2"
"215","ACACB","HIBCH"
"216","ACACB","IDH1"
"217","ACACB","KIAA0934"
"218","ACACB","KIAA1463"
"219","ACACB","LOC283828"
"220","ACACB","LOC286552"
"221","ACACB","LOC90353"
"222","ACACB","NDUFAB1"
"223","ACACB","PC"
"224","ACACB","PDHB"
"225","ACACB","PDK1"
"226","ACACB","PDK2"
"227","ACACB","PECI"
"228","ACACB","PPP6C"
"229","ACACB","RNASEH2A"
"230","ACACB","SLC27A2"
"231","ACACB","SLC27A3"
"232","ACACB","SLC27A4"
"233","ACACB","SLC27A5"
"234","ACACB","SLC5A5"
"235","ACACB","SLC5A6"
"236","ACACB","VLCS-H1"
"237","ACADL","ACADVL"
"238","ACADL","HADHA"
"239","ACADL","HADHB"
"240","ACADM","PAK4"
"241","ACADM","PAK7"
"242","ACADSB","CGI-18"
"243","ACADSB","CLONE24945"
"244","ACADVL","BET3"
"245","ACADVL","PXF"
"246","ACAS2","FLJ34278"
"247","ACAS2","FLJ38866"
"248","ACAS2","KIAA1463"
"249","ACAS2","LOC283828"
"250","ACAS2","LOC286552"
"251","ACAS2","ACAT1"
"252","ACAT1","ACOX1"
"253","ACAT1","ACOX2"
"254","ACAT1","ADSL"
"255","ACAT1","BCKDK"
"256","ACAT1","CDK9"
"257","ACAT1","CDYL"
"258","ACAT1","COQ6"
"259","ACAT1","FLJ34278"
"260","ACAT1","FLJ38866"
"261","ACAT1","HADHB"
"262","ACAT1","HIBCH"
"263","ACAT1","HMGCR"
"264","ACAT1","HMGCS1"
"265","ACAT1","HMGCS2"
"266","ACAT1","HSD17B4"
"267","ACAT1","KIAA0934"
"268","ACAT1","KIAA1463"
"269","ACAT1","KMO"
"270","ACAT1","LOC283828"
"271","ACAT1","LOC286552"
"272","ACAT1","PDK1"
"273","ACAT1","PDK2"
"274","ACAT1","PECI"
"275","ACAT1","SLC27A2"
"276","ACAT1","SLC27A3"
"277","ACAT1","SLC27A4"
"278","ACAT1","SLC27A5"
"279","ACAT1","SQLE"
"280","ACAT1","VLCS-H1"
"281","ACATE2","FLJ12750"
"282","ACATE2","FLJ20847"
"283","ACATE2","HAGE"
"284","ACATE2","P5CR2"
"285","ACHE","LGTN"
"286","ACINUS","LCMR1"
"287","ACK1","SNX9"
"288","ACLY","DTNA"
"289","ACLY","DTNB"
"290","ACLY","GNPNAT1"
"291","ACLY","PSMB1"
"292","ACO1","BCL3"
"293","ACO1","IREB2"
"294","ACO1","NFKB1"
"295","ACO1","NFKB2"
"296","ACO1","NFKBIA"
