alpha	Links	p-value	nodes	density
0.005	236	0.00212412271521	73	0.089802130898
0.01	456	0.0583463706498	100	0.0921212121212
0.02	826	0.00409733171083	151	0.07293598234
0.03	1212	0.0654434606699	181	0.0744014732965
0.05	2029	0.0740247385239	239	0.0713406701593
0.1	4473	0.0311313955409	341	0.0771606003105
0.2	11649	0.0187419821742	521	0.0859958659383
0.3	18961	0.182542707659	528	0.13628457248
0.4	38457	8.0265872058e-21	631	0.193479737378
0.5	52230	1.60741383229e-19	632	0.261941062007
