alpha	Links	p-value	nodes	density
0.005	0	1.0	0	0.0
0.01	0	1.0	0	0.0
0.02	101	0.80772193115	58	0.0611010284332
0.03	1473	3.84157779217e-19	129	0.178415697674
0.05	5087	9.02274024442e-263	291	0.120559307975
0.1	12276	0.0	882	0.0315967476661
0.2	79138	4.48419838459e-202	1094	0.132366346586
0.3	222462	1.45043317644e-38	1094	0.372090300416
0.4	365784	0.116220233197	1094	0.611810909042
0.5	481144	0.999999998109	1094	0.804762231317
