alpha	Links	p-value	nodes	density
0.005	79	0.383623792293	83	0.0232148104614
0.01	348	0.620302128458	263	0.0101007169187
0.02	2038	0.939420597463	603	0.0112284645433
0.03	5232	0.954678117221	712	0.0206703645759
0.05	14201	0.999924860482	790	0.0455664115769
0.1	40356	0.999999998435	873	0.1060247801
0.2	91257	0.999999992656	948	0.20330022857
0.3	134209	0.999998132017	952	0.296479159487
0.4	177912	0.999983430338	980	0.37087406975
0.5	216773	0.999428876573	980	0.451883429572
