,biocarta,chr,cluster length max,cluster length mean,cluster length median,cluster length min,clusters,conductance max data/red-new/net_exp_final.txt,conductance max data/red-new/net_mirna_final.txt,conductance max data/red-new/net_ppi_unique_nodes_int.txt,conductance max data/red-new/net_tf_final.txt,conductance mean data/red-new/net_exp_final.txt,conductance mean data/red-new/net_mirna_final.txt,conductance mean data/red-new/net_ppi_unique_nodes_int.txt,conductance mean data/red-new/net_tf_final.txt,conductance median data/red-new/net_exp_final.txt,conductance median data/red-new/net_mirna_final.txt,conductance median data/red-new/net_ppi_unique_nodes_int.txt,conductance median data/red-new/net_tf_final.txt,conductance min data/red-new/net_exp_final.txt,conductance min data/red-new/net_mirna_final.txt,conductance min data/red-new/net_ppi_unique_nodes_int.txt,conductance min data/red-new/net_tf_final.txt,cp,go,kegg,mir,modularity data/red-new/net_exp_final.txt,modularity data/red-new/net_mirna_final.txt,modularity data/red-new/net_ppi_unique_nodes_int.txt,modularity data/red-new/net_tf_final.txt,reactome
data/red-new/multi_cluster/clusters_a_0900_phi_0300.txt,0,0.0042194092827,2570,29.2151898734,1,1,237,1,1,1,1,0.0511877320413,0.0544601998193,0.052464304104,0.0562992048299,0,0,0,0,0,0,0,0,0.0168776371308,0.0548523206751,0.0084388185654,0.0084388185654,0.00833953765583,-0.0693814249736,0.0363972791684,-0.00224398731572,0.0168776371308
data/red-new/multi_cluster/clusters_a_0800_phi_3000.txt,0,0,2683,29.2151898734,1,1,237,1,1,1,1,0.0470474031443,0.0509007512229,0.0467721670871,0.0484460529502,0,0,0,0,0,0,0,0,0.0084388185654,0.042194092827,0,0.0084388185654,0.0145655640257,-0.0620167884985,0.0379309287975,-0.00260052917681,0.0084388185654
data/red-new/multi_cluster/clusters_a_0800_phi_4000.txt,0,0,2683,29.2151898734,1,1,237,1,1,1,1,0.0470474031443,0.0509007512229,0.0467721670871,0.0484460529502,0,0,0,0,0,0,0,0,0.0084388185654,0.042194092827,0,0.0084388185654,0.0145655640257,-0.0620167884985,0.0379309287975,-0.00260052917681,0.0084388185654
data/red-new/multi_cluster/clusters_a_0900_phi_0350.txt,0,0.00418410041841,2570,28.9707112971,1,1,239,1,1,1,1,0.0549449407441,0.0581884372662,0.0537240848357,0.0641939791628,0,0,0,0,0,0,0,0,0.0167364016736,0.0543933054393,0.00836820083682,0.00836820083682,0.00833271328143,-0.0693811513304,0.036399103583,-0.00224353586254,0.0167364016736
data/red-new/multi_cluster/clusters_a_0900_phi_0400.txt,0,0.00404858299595,2570,28.032388664,1,1,247,1,1,1,1,0.0774519299309,0.0725192024041,0.0628926703454,0.0742557913617,0,0,0,0,0,0,0,0,0.0202429149798,0.0566801619433,0.0121457489879,0.0080971659919,0.00835403777863,-0.0694114759119,0.0364107558623,-0.00224253870766,0.0202429149798
data/red-new/multi_cluster/clusters_a_0980_phi_0250.txt,0.00403225806452,0.0120967741935,2551,27.9193548387,1,1,248,1,1,1,1,0.0860708156391,0.087384064615,0.075454750049,0.0938650537066,0,0,0,0,0,0,0,0,0.0362903225806,0.0846774193548,0.0241935483871,0.00806451612903,0.0107156088869,-0.0711600975774,0.0413565185942,0.000853073766779,0.0282258064516
data/red-new/multi_cluster/clusters_a_0980_phi_0600.txt,0.00403225806452,0.0120967741935,2551,27.9193548387,1,1,248,1,1,1,1,0.0860708156391,0.087384064615,0.075454750049,0.0938650537066,0,0,0,0,0,0,0,0,0.0362903225806,0.0846774193548,0.0241935483871,0.00806451612903,0.0107156088869,-0.0711600975774,0.0413565185942,0.000853073766779,0.0282258064516
data/red-new/multi_cluster/clusters_a_0980_phi_0400.txt,0.00403225806452,0.0120967741935,2551,27.9193548387,1,1,248,1,1,1,1,0.0860708156391,0.087384064615,0.075454750049,0.0938650537066,0,0,0,0,0,0,0,0,0.0362903225806,0.0846774193548,0.0241935483871,0.00806451612903,0.0107156088869,-0.0711600975774,0.0413565185942,0.000853073766779,0.0282258064516
data/red-new/multi_cluster/clusters_a_0980_phi_0350.txt,0.00403225806452,0.0120967741935,2551,27.9193548387,1,1,248,1,1,1,1,0.0860708156391,0.087384064615,0.075454750049,0.0938650537066,0,0,0,0,0,0,0,0,0.0362903225806,0.0846774193548,0.0241935483871,0.00806451612903,0.0107156088869,-0.0711600975774,0.0413565185942,0.000853073766779,0.0282258064516
data/red-new/multi_cluster/clusters_a_0980_phi_0300.txt,0.00403225806452,0.0120967741935,2551,27.9193548387,1,1,248,1,1,1,1,0.0860708156391,0.087384064615,0.075454750049,0.0938650537066,0,0,0,0,0,0,0,0,0.0362903225806,0.0846774193548,0.0241935483871,0.00806451612903,0.0107156088869,-0.0711600975774,0.0413565185942,0.000853073766779,0.0282258064516
