alpha	Links	p-value	nodes	density
0.005	15	1.0	20	0.0789473684211
0.01	383	0.0065330206956	153	0.0329377364981
0.02	2917	2.82640102399e-21	694	0.0121303608335
0.03	7473	3.15768207507e-62	1658	0.00544023854642
0.05	25483	1.25846331985e-107	3606	0.003920573124
0.1	238169	1.31442700935e-149	6863	0.0101146420091
0.2	3952469	0.0	6924	0.164910032475
0.3	10406618	0.0	6924	0.434198399111
0.4	16086201	2.29839338445e-320	6924	0.671169319559
0.5	20270687	2.9032698197e-204	6924	0.845759865911
