"","V1","V2"
"225","LYN","HNRNPK"
"226","LYN","PTK2"
"227","SLC6A8","CD59"
"228","LYN","PRKDC"
"229","LYN","PTK2B"
"230","LYN","PIK3CG"
"231","LYN","HCLS1"
"232","LYN","LCP2"
"233","LYN","MAPK3"
"234","LYN","MAP4K1"
"235","LYN","KHDRBS1"
"236","LYN","RGS16"
"237","UBXN11","ZFYVE9"
"238","NCR1","CD59"
"239","LYN","PPP1R8"
"240","LYN","NPHS1"
"241","DLG4","LYN"
"242","LYN","BCAR1"
"243","LYN","UNC119"
"244","LYN","TRAT1"
"245","LYN","SKAP1"
"246","LYN","SKAP2"
"247","LYN","TRPV4"
"248","LYN","PAG1"
"249","NCR3","CD59"
"250","LYN","GAB2"
"251","LYN","PRAM1"
"252","LYN","GAB3"
"253","LYN","PPP1R15A"
"254","LYN","FCGR2B"
"255","LYN","INPP5D"
"256","LYN","CBLC"
"257","LYN","BANK1"
"258","LYN","GP6"
"259","LYN","EVL"
"260","GRB2","CD72"
"261","LYN","NEDD9"
"262","LYN","CHST15"
"263","LYN","SH2B2"
"264","LYN","DOK3"
"265","SPI1","JUN"
"266","JUN","POU1F1"
"267","JUN","MAF"
"268","JUN","RB1"
"269","JUN","NR5A1"
"270","CD5","CD72"
"271","JUN","NFYA"
"272","SP1","JUN"
"273","JUN","GTF2F2"
"274","ABL1","JUN"
"275","JUN","TPM1"
"276","JUN","HCFC1"
"277","JUN","TAF1"
"278","JUN","AR"
"279","TBP","JUN"
"280","JUN","CREBBP"
"281","PTPN6","CD72"
"282","JUN","RUNX2"
"283","JUN","STAT1"
"284","JUN","STAT4"
"285","JUN","HMGA1"
"286","JUN","PRKDC"
"287","JUN","SMAD4"
"288","JUN","PIN1"
"289","MAPK8","JUN"
"290","JUN","NACA"
"291","JUN","SMAD2"
"292","SEMA4D","CD72"
"293","JUN","TDG"
"294","JUN","FOSL2"
"295","JUN","SMARCD1"
"296","JUN","VDR"
"297","JUN","MAPK3"
"298","JUN","SUMO1"
"299","JUN","NCOA3"
"300","JUN","NRIP1"
"301","JUN","TGIF1"
"302","JUN","NCOA1"
"303","BLNK","CD72"
"304","JUN","EP300"
"305","JUN","MAPK9"
"306","JUN","TSC22D3"
"307","JUN","TCF20"
"308","JUN","SMAD3"
"309","JUN","DHX9"
"310","JUN","ATF3"
"311","JUN","HIF1A"
"312","JUN","TRIP4"
"313","JUN","MYBBP1A"
"314","JUN","PRKD1"
"315","JUN","DDX21"
"316","JUN","SPIB"
"317","JUN","PACS1"
"318","JUN","ATF4"
"319","JUN","HHEX"
"320","JUN","COPS5"
"321","JUN","MAFB"
"322","JUN","RFWD2"
"323","JUN","EN1"
"324","TBCB","USP7"
"325","SERPINA3","CTSG"
"326","GTF2B","JUN"
"327","JUN","HDAC3"
"328","JUN","UBE2I"
"329","JUN","RBM39"
"330","JUN","RAGE"
"331","JUN","MAPKAPK5"
"332","JUN","BATF"
"333","JUN","CREB5"
"334","JUN","COBRA1"
"335","JUN","TPM2"
"336","SERPINA3","CTRL"
"337","JUN","PIAS1"
"338","JUN","RPL18A"
"339","JUN","JDP2"
"340","JUN","SNRK"
"341","RNPEP","ZFYVE9"
"342","FHL2","ZFYVE9"
"343","EIF4G1","ZFYVE9"
"344","ZMYND8","ZFYVE9"
"345","CHD6","ZFYVE9"
"346","RBBP6","ZFYVE9"
"347","SERPINA3","CTRB1"
"348","RHOT2","ZFYVE9"
"349","SMAD5","SF3B1"
"350","MAPK14","JUNB"
"351","SMAD4","JUNB"
"352","MAPK8","JUNB"
"353","FOSL2","JUNB"
"354","SMAD3","JUNB"
"355","BATF","JUNB"
"356","JDP2","JUNB"
"357","TBP","JUND"
"358","SERPINA3","CMA1"
"359","NFE2L2","JUND"
"360","SMAD4","JUND"
"361","MAPK8","JUND"
"362","FOSL2","JUND"
"363","MAPK9","JUND"
"364","ATF3","JUND"
"365","COPS5","JUND"
"366","RFWD2","JUND"
"367","BATF","JUND"
"368","JDP2","JUND"
"369","SERPINA3","MMP1"
"370","SMAD5","SMAD4"
"371","SPI1","CEBPB"
"372","SPI1","NONO"
"373","SPI1","GATA1"
"374","SPI1","IRF8"
"375","SPI1","IRF4"
"376","SPI1","SPIB"
"377","SMAD1","SMAD5"
"378","FGFR2","FGF5"
"379","SERPINA3","CELA1"
"380","SMAD5","MTMR10"
