"","V1","V2","NA"
"","ACTR1A","CDK1","IN_SAME_COMPONENT"
"","ACTR1A","CDK5RAP2","IN_SAME_COMPONENT"
"","ACTR1A","CENPJ","IN_SAME_COMPONENT"
"","ACTR1A","CEP135","IN_SAME_COMPONENT"
"","ACTR1A","CEP152","IN_SAME_COMPONENT"
"","ACTR1A","CEP164","IN_SAME_COMPONENT"
"","ACTR1A","CEP192","IN_SAME_COMPONENT"
"","ACTR1A","CEP250","IN_SAME_COMPONENT"
"","ACTR1A","CEP290","IN_SAME_COMPONENT"
"","ACTR1A","CEP57","IN_SAME_COMPONENT"
"","ACTR1A","CEP63","IN_SAME_COMPONENT"
"","ACTR1A","CEP70","IN_SAME_COMPONENT"
"","ACTR1A","CEP72","IN_SAME_COMPONENT"
"","ACTR1A","CEP76","IN_SAME_COMPONENT"
"","ACTR1A","CEP78","IN_SAME_COMPONENT"
"","ACTR1A","CETN2","IN_SAME_COMPONENT"
"","ACTR1A","CKAP5","IN_SAME_COMPONENT"
"","ACTR1A","CLASP1","IN_SAME_COMPONENT"
"","ACTR1A","CNTRL","IN_SAME_COMPONENT"
"","ACTR1A","CSNK1D","IN_SAME_COMPONENT"
"","ACTR1A","CSNK1E","IN_SAME_COMPONENT"
"","ACTR1A","DCTN2","IN_SAME_COMPONENT"
"","ACTR1A","DCTN3","IN_SAME_COMPONENT"
"","ACTR1A","DYNC1H1","IN_SAME_COMPONENT"
"","ACTR1A","DYNC1I2","IN_SAME_COMPONENT"
"","ACTR1A","DYNLL1","IN_SAME_COMPONENT"
"","ACTR1A","FGFR1OP","IN_SAME_COMPONENT"
"","ACTR1A","HAUS2","IN_SAME_COMPONENT"
"","ACTR1A","HSP90AA1","IN_SAME_COMPONENT"
"","ACTR1A","MAPRE1","IN_SAME_COMPONENT"
"","ACTR1A","NDE1","IN_SAME_COMPONENT"
"","ACTR1A","NEDD1","IN_SAME_COMPONENT"
"","ACTR1A","NEK2","IN_SAME_COMPONENT"
"","ACTR1A","NINL","IN_SAME_COMPONENT"
"","ACTR1A","ODF2","IN_SAME_COMPONENT"
"","ACTR1A","OFD1","IN_SAME_COMPONENT"
"","ACTR1A","PAFAH1B1","IN_SAME_COMPONENT"
"","ACTR1A","PCM1","IN_SAME_COMPONENT"
"","ACTR1A","PCNT","IN_SAME_COMPONENT"
"","ACTR1A","PLK1","IN_SAME_COMPONENT"
"","ACTR1A","PLK4","IN_SAME_COMPONENT"
"","ACTR1A","PPP2R1A","IN_SAME_COMPONENT"
"","ACTR1A","PRKACA","IN_SAME_COMPONENT"
"","ACTR1A","PRKAR2B","IN_SAME_COMPONENT"
"","ACTR1A","SDCCAG8","IN_SAME_COMPONENT"
"","ACTR1A","SFI1","IN_SAME_COMPONENT"
"","ACTR1A","SSNA1","IN_SAME_COMPONENT"
"","ACTR1A","TSGA14","IN_SAME_COMPONENT"
"","ACTR1A","TUBA1A","IN_SAME_COMPONENT"
"","ACTR1A","TUBA4A","IN_SAME_COMPONENT"
"","ACTR1A","TUBB","IN_SAME_COMPONENT"
"","ACTR1A","TUBB2C","IN_SAME_COMPONENT"
"","ACTR1A","TUBB4","IN_SAME_COMPONENT"
"","ACTR1A","TUBG1","IN_SAME_COMPONENT"
"","ACTR1A","TUBG2","IN_SAME_COMPONENT"
"","ACTR1A","TUBGCP2","IN_SAME_COMPONENT"
"","ACTR1A","TUBGCP3","IN_SAME_COMPONENT"
"","ACTR1A","TUBGCP4","IN_SAME_COMPONENT"
"","ACTR1A","TUBGCP5","IN_SAME_COMPONENT"
"","ACTR1A","TUBGCP6","IN_SAME_COMPONENT"
"","ACTR1A","YWHAE","IN_SAME_COMPONENT"
"","ACTR1A","YWHAG","IN_SAME_COMPONENT"
"","ACTR1A","ACTR1A","REACTS_WITH"
"","ACVR1B","NODAL","IN_SAME_COMPONENT"
"","ACVR1B","ACVR1B","REACTS_WITH"
"","ACVR1C","ACVR2B","IN_SAME_COMPONENT"
"","ACVR1C","NODAL","IN_SAME_COMPONENT"
"","ACVR1C","ACVR1C","REACTS_WITH"
"","ACVR2B","NODAL","IN_SAME_COMPONENT"
"","ACVR2B","ACVR2B","REACTS_WITH"
"","ADAM10","NOTCH2","STATE_CHANGE"
"","ADAM17","GHR","STATE_CHANGE"
"","ADAM17","NGFR","STATE_CHANGE"
"","ADARB1","ADARB1","REACTS_WITH"
"","ADAR","ADAR","REACTS_WITH"
"","ADAR","EGR1","REACTS_WITH"
"","ADAR","GBP2","REACTS_WITH"
"","ADAR","IFI27","REACTS_WITH"
"","ADAR","IFI35","REACTS_WITH"
"","ADAR","IFI6","REACTS_WITH"
"","ADAR","IFIT1","REACTS_WITH"
"","ADAR","IFIT2","REACTS_WITH"
"","ADAR","IFIT3","REACTS_WITH"
"","ADAR","IFITM1","REACTS_WITH"
"","ADAR","IFITM2","REACTS_WITH"
"","ADAR","IFITM3","REACTS_WITH"
"","ADAR","IP6K2","REACTS_WITH"
"","ADAR","ISG15","REACTS_WITH"
"","ADAR","ISG20","REACTS_WITH"
"","ADAR","PSMB8","REACTS_WITH"
"","ADAR","RNASEL","REACTS_WITH"
"","ADAR","XAF1","REACTS_WITH"
"","ADCYAP1","ADCYAP1R1","IN_SAME_COMPONENT"
"","ADCYAP1R1","ADCYAP1R1","REACTS_WITH"
"","ADCYAP1","ADCYAP1","REACTS_WITH"
"","ADORA2A","ADORA2A","REACTS_WITH"
"","ADRBK1","CALM1","IN_SAME_COMPONENT"
"","ADRBK1","ADRBK1","REACTS_WITH"
"","AGAP2","UNC5B","IN_SAME_COMPONENT"
"","AGAP2","AGAP2","REACTS_WITH"
"","AGER","AGER","REACTS_WITH"
"","AGER","RELA","STATE_CHANGE"
"","AGPS","GNPAT","IN_SAME_COMPONENT"
"","AGRN","NCAM1","IN_SAME_COMPONENT"
"","AGRN","AGRN","REACTS_WITH"
"","AGT","AGT","REACTS_WITH"
"","AHCTF1","APITD1","IN_SAME_COMPONENT"
"","AHCTF1","AURKB","IN_SAME_COMPONENT"
"","AHCTF1","B9D2","IN_SAME_COMPONENT"
"","AHCTF1","BIRC5","IN_SAME_COMPONENT"
"","AHCTF1","BUB1","IN_SAME_COMPONENT"
"","AHCTF1","BUB1B","IN_SAME_COMPONENT"
"","AHCTF1","BUB3","IN_SAME_COMPONENT"
"","AHCTF1","CASC5","IN_SAME_COMPONENT"
"","AHCTF1","CCDC99","IN_SAME_COMPONENT"
"","AHCTF1","CDC20","IN_SAME_COMPONENT"
"","AHCTF1","CDCA8","IN_SAME_COMPONENT"
"","AHCTF1","CENPA","IN_SAME_COMPONENT"
"","AHCTF1","CENPC1","IN_SAME_COMPONENT"
"","AHCTF1","CENPE","IN_SAME_COMPONENT"
"","AHCTF1","CENPF","IN_SAME_COMPONENT"
"","AHCTF1","CENPH","IN_SAME_COMPONENT"
"","AHCTF1","CENPI","IN_SAME_COMPONENT"
"","AHCTF1","CENPK","IN_SAME_COMPONENT"
"","AHCTF1","CENPL","IN_SAME_COMPONENT"
"","AHCTF1","CENPM","IN_SAME_COMPONENT"
"","AHCTF1","CENPN","IN_SAME_COMPONENT"
"","AHCTF1","CENPO","IN_SAME_COMPONENT"
"","AHCTF1","CENPP","IN_SAME_COMPONENT"
"","AHCTF1","CENPQ","IN_SAME_COMPONENT"
"","AHCTF1","CENPT","IN_SAME_COMPONENT"
"","AHCTF1","CKAP5","IN_SAME_COMPONENT"
"","AHCTF1","CLASP1","IN_SAME_COMPONENT"
"","AHCTF1","CLASP2","IN_SAME_COMPONENT"
"","AHCTF1","CLIP1","IN_SAME_COMPONENT"
"","AHCTF1","DSN1","IN_SAME_COMPONENT"
"","AHCTF1","ERCC6L","IN_SAME_COMPONENT"
"","AHCTF1","INCENP","IN_SAME_COMPONENT"
"","AHCTF1","KIF18A","IN_SAME_COMPONENT"
"","AHCTF1","KIF2A","IN_SAME_COMPONENT"
"","AHCTF1","KIF2B","IN_SAME_COMPONENT"
"","AHCTF1","KIF2C","IN_SAME_COMPONENT"
"","AHCTF1","KNTC1","IN_SAME_COMPONENT"
"","AHCTF1","MAD1L1","IN_SAME_COMPONENT"
"","AHCTF1","MAD2L1","IN_SAME_COMPONENT"
"","AHCTF1","MAPRE1","IN_SAME_COMPONENT"
"","AHCTF1","MIS12","IN_SAME_COMPONENT"
"","AHCTF1","MLF1IP","IN_SAME_COMPONENT"
"","AHCTF1","NDC80","IN_SAME_COMPONENT"
"","AHCTF1","NDE1","IN_SAME_COMPONENT"
"","AHCTF1","NDEL1","IN_SAME_COMPONENT"
"","AHCTF1","NSL1","IN_SAME_COMPONENT"
"","AHCTF1","NUDC","IN_SAME_COMPONENT"
"","AHCTF1","NUF2","IN_SAME_COMPONENT"
"","AHCTF1","NUP107","IN_SAME_COMPONENT"
"","AHCTF1","NUP133","IN_SAME_COMPONENT"
"","AHCTF1","NUP160","IN_SAME_COMPONENT"
"","AHCTF1","NUP37","IN_SAME_COMPONENT"
"","AHCTF1","NUP43","IN_SAME_COMPONENT"
"","AHCTF1","NUP85","IN_SAME_COMPONENT"
"","AHCTF1","PAFAH1B1","IN_SAME_COMPONENT"
"","AHCTF1","PLK1","IN_SAME_COMPONENT"
"","AHCTF1","PMF1","IN_SAME_COMPONENT"
"","AHCTF1","PPP1CC","IN_SAME_COMPONENT"
"","AHCTF1","RANBP2","IN_SAME_COMPONENT"
"","AHCTF1","RANGAP1","IN_SAME_COMPONENT"
"","AHCTF1","RCC2","IN_SAME_COMPONENT"
"","AHCTF1","RPS27","IN_SAME_COMPONENT"
"","AHCTF1","SEC13","IN_SAME_COMPONENT"
"","AHCTF1","SGOL1","IN_SAME_COMPONENT"
"","AHCTF1","SGOL2","IN_SAME_COMPONENT"
"","AHCTF1","SKA1","IN_SAME_COMPONENT"
"","AHCTF1","SKA2","IN_SAME_COMPONENT"
"","AHCTF1","SPC24","IN_SAME_COMPONENT"
"","AHCTF1","SPC25","IN_SAME_COMPONENT"
"","AHCTF1","TAOK1","IN_SAME_COMPONENT"
"","AHCTF1","XPO1","IN_SAME_COMPONENT"
"","AHCTF1","ZW10","IN_SAME_COMPONENT"
"","AHCTF1","ZWILCH","IN_SAME_COMPONENT"
"","AHCTF1","ZWINT","IN_SAME_COMPONENT"
"","AHCTF1","AHCTF1","REACTS_WITH"
"","AIM2","AIM2","REACTS_WITH"
"","AIMP1","AIMP2","IN_SAME_COMPONENT"
"","AIMP1","DARS","IN_SAME_COMPONENT"
"","AIMP1","EEF1E1","IN_SAME_COMPONENT"
"","AIMP1","EPRS","IN_SAME_COMPONENT"
"","AIMP1","IARS","IN_SAME_COMPONENT"
"","AIMP1","KARS","IN_SAME_COMPONENT"
"","AIMP1","LARS","IN_SAME_COMPONENT"
"","AIMP1","MARS","IN_SAME_COMPONENT"
"","AIMP1","QARS","IN_SAME_COMPONENT"
"","AIMP1","RARS","IN_SAME_COMPONENT"
"","AIMP2","DARS","IN_SAME_COMPONENT"
"","AIMP2","EEF1E1","IN_SAME_COMPONENT"
"","AIMP2","EPRS","IN_SAME_COMPONENT"
"","AIMP2","IARS","IN_SAME_COMPONENT"
"","AIMP2","KARS","IN_SAME_COMPONENT"
"","AIMP2","LARS","IN_SAME_COMPONENT"
"","AIMP2","MARS","IN_SAME_COMPONENT"
"","AIMP2","QARS","IN_SAME_COMPONENT"
"","AIMP2","RARS","IN_SAME_COMPONENT"
"","AKAP5","IQGAP1","IN_SAME_COMPONENT"
"","AKAP5","AKAP5","REACTS_WITH"
"","AKAP5","DLG1","REACTS_WITH"
"","AKAP5","DLG4","REACTS_WITH"
"","AKAP5","EPB41L1","REACTS_WITH"
"","AKAP5","MDM2","REACTS_WITH"
"","AKAP9","ALMS1","IN_SAME_COMPONENT"
"","AKAP9","AZI1","IN_SAME_COMPONENT"
"","AKAP9","CCP110","IN_SAME_COMPONENT"
"","AKAP9","CDK1","IN_SAME_COMPONENT"
"","AKAP9","CDK5RAP2","IN_SAME_COMPONENT"
"","AKAP9","CENPJ","IN_SAME_COMPONENT"
"","AKAP9","CEP135","IN_SAME_COMPONENT"
"","AKAP9","CEP152","IN_SAME_COMPONENT"
"","AKAP9","CEP164","IN_SAME_COMPONENT"
"","AKAP9","CEP192","IN_SAME_COMPONENT"
"","AKAP9","CEP250","IN_SAME_COMPONENT"
"","AKAP9","CEP290","IN_SAME_COMPONENT"
"","AKAP9","CEP57","IN_SAME_COMPONENT"
"","AKAP9","CEP63","IN_SAME_COMPONENT"
"","AKAP9","CEP70","IN_SAME_COMPONENT"
"","AKAP9","CEP72","IN_SAME_COMPONENT"
"","AKAP9","CEP76","IN_SAME_COMPONENT"
"","AKAP9","CEP78","IN_SAME_COMPONENT"
"","AKAP9","CETN2","IN_SAME_COMPONENT"
"","AKAP9","CKAP5","IN_SAME_COMPONENT"
"","AKAP9","CLASP1","IN_SAME_COMPONENT"
"","AKAP9","CNTRL","IN_SAME_COMPONENT"
"","AKAP9","CSNK1D","IN_SAME_COMPONENT"
"","AKAP9","CSNK1E","IN_SAME_COMPONENT"
"","AKAP9","DCTN2","IN_SAME_COMPONENT"
"","AKAP9","DCTN3","IN_SAME_COMPONENT"
"","AKAP9","DYNC1H1","IN_SAME_COMPONENT"
"","AKAP9","DYNC1I2","IN_SAME_COMPONENT"
"","AKAP9","DYNLL1","IN_SAME_COMPONENT"
"","AKAP9","FGFR1OP","IN_SAME_COMPONENT"
"","AKAP9","HAUS2","IN_SAME_COMPONENT"
"","AKAP9","HSP90AA1","IN_SAME_COMPONENT"
"","AKAP9","MAPRE1","IN_SAME_COMPONENT"
"","AKAP9","NDE1","IN_SAME_COMPONENT"
"","AKAP9","NEDD1","IN_SAME_COMPONENT"
"","AKAP9","NEK2","IN_SAME_COMPONENT"
"","AKAP9","NINL","IN_SAME_COMPONENT"
"","AKAP9","ODF2","IN_SAME_COMPONENT"
"","AKAP9","OFD1","IN_SAME_COMPONENT"
"","AKAP9","PAFAH1B1","IN_SAME_COMPONENT"
"","AKAP9","PCM1","IN_SAME_COMPONENT"
"","AKAP9","PCNT","IN_SAME_COMPONENT"
"","AKAP9","PLK1","IN_SAME_COMPONENT"
"","AKAP9","PLK4","IN_SAME_COMPONENT"
"","AKAP9","PPP2R1A","IN_SAME_COMPONENT"
"","AKAP9","PRKACA","IN_SAME_COMPONENT"
"","AKAP9","PRKAR2B","IN_SAME_COMPONENT"
"","AKAP9","SDCCAG8","IN_SAME_COMPONENT"
"","AKAP9","SFI1","IN_SAME_COMPONENT"
"","AKAP9","SSNA1","IN_SAME_COMPONENT"
"","AKAP9","TSGA14","IN_SAME_COMPONENT"
"","AKAP9","TUBA1A","IN_SAME_COMPONENT"
"","AKAP9","TUBA4A","IN_SAME_COMPONENT"
"","AKAP9","TUBB","IN_SAME_COMPONENT"
"","AKAP9","TUBB2C","IN_SAME_COMPONENT"
"","AKAP9","TUBB4","IN_SAME_COMPONENT"
"","AKAP9","TUBG1","IN_SAME_COMPONENT"
"","AKAP9","TUBG2","IN_SAME_COMPONENT"
"","AKAP9","TUBGCP2","IN_SAME_COMPONENT"
"","AKAP9","TUBGCP3","IN_SAME_COMPONENT"
"","AKAP9","TUBGCP4","IN_SAME_COMPONENT"
"","AKAP9","TUBGCP5","IN_SAME_COMPONENT"
"","AKAP9","TUBGCP6","IN_SAME_COMPONENT"
"","AKAP9","YWHAE","IN_SAME_COMPONENT"
"","AKAP9","YWHAG","IN_SAME_COMPONENT"
"","AKAP9","AKAP9","REACTS_WITH"
"","AKT1","CALM1","IN_SAME_COMPONENT"
"","AKT1","HSP90AA1","IN_SAME_COMPONENT"
"","AKT1","NOS3","IN_SAME_COMPONENT"
"","AKT1","AKT1","REACTS_WITH"
"","AKT1","BAD","STATE_CHANGE"
"","AKT1","KHSRP","STATE_CHANGE"
"","AKT2","AKT2","REACTS_WITH"
"","ALAD","ALAD","REACTS_WITH"
"","ALB","ALB","REACTS_WITH"
"","ALB","FABP6","REACTS_WITH"
"","ALCAM","L1CAM","IN_SAME_COMPONENT"
"","ALCAM","ALCAM","REACTS_WITH"
"","ALMS1","AZI1","IN_SAME_COMPONENT"
"","ALMS1","CCP110","IN_SAME_COMPONENT"
"","ALMS1","CDK1","IN_SAME_COMPONENT"
"","ALMS1","CDK5RAP2","IN_SAME_COMPONENT"
"","ALMS1","CENPJ","IN_SAME_COMPONENT"
"","ALMS1","CEP135","IN_SAME_COMPONENT"
"","ALMS1","CEP152","IN_SAME_COMPONENT"
"","ALMS1","CEP164","IN_SAME_COMPONENT"
"","ALMS1","CEP192","IN_SAME_COMPONENT"
"","ALMS1","CEP250","IN_SAME_COMPONENT"
"","ALMS1","CEP290","IN_SAME_COMPONENT"
"","ALMS1","CEP57","IN_SAME_COMPONENT"
"","ALMS1","CEP63","IN_SAME_COMPONENT"
"","ALMS1","CEP70","IN_SAME_COMPONENT"
"","ALMS1","CEP72","IN_SAME_COMPONENT"
"","ALMS1","CEP76","IN_SAME_COMPONENT"
"","ALMS1","CEP78","IN_SAME_COMPONENT"
"","ALMS1","CETN2","IN_SAME_COMPONENT"
"","ALMS1","CKAP5","IN_SAME_COMPONENT"
"","ALMS1","CLASP1","IN_SAME_COMPONENT"
"","ALMS1","CNTRL","IN_SAME_COMPONENT"
"","ALMS1","CSNK1D","IN_SAME_COMPONENT"
"","ALMS1","CSNK1E","IN_SAME_COMPONENT"
"","ALMS1","DCTN2","IN_SAME_COMPONENT"
"","ALMS1","DCTN3","IN_SAME_COMPONENT"
"","ALMS1","DYNC1H1","IN_SAME_COMPONENT"
"","ALMS1","DYNC1I2","IN_SAME_COMPONENT"
"","ALMS1","DYNLL1","IN_SAME_COMPONENT"
"","ALMS1","FGFR1OP","IN_SAME_COMPONENT"
"","ALMS1","HAUS2","IN_SAME_COMPONENT"
"","ALMS1","HSP90AA1","IN_SAME_COMPONENT"
"","ALMS1","MAPRE1","IN_SAME_COMPONENT"
"","ALMS1","NDE1","IN_SAME_COMPONENT"
"","ALMS1","NEDD1","IN_SAME_COMPONENT"
"","ALMS1","NEK2","IN_SAME_COMPONENT"
"","ALMS1","NINL","IN_SAME_COMPONENT"
"","ALMS1","ODF2","IN_SAME_COMPONENT"
"","ALMS1","OFD1","IN_SAME_COMPONENT"
"","ALMS1","PAFAH1B1","IN_SAME_COMPONENT"
"","ALMS1","PCM1","IN_SAME_COMPONENT"
"","ALMS1","PCNT","IN_SAME_COMPONENT"
"","ALMS1","PLK1","IN_SAME_COMPONENT"
"","ALMS1","PLK4","IN_SAME_COMPONENT"
"","ALMS1","PPP2R1A","IN_SAME_COMPONENT"
"","ALMS1","PRKACA","IN_SAME_COMPONENT"
"","ALMS1","PRKAR2B","IN_SAME_COMPONENT"
"","ALMS1","SDCCAG8","IN_SAME_COMPONENT"
"","ALMS1","SFI1","IN_SAME_COMPONENT"
"","ALMS1","SSNA1","IN_SAME_COMPONENT"
"","ALMS1","TSGA14","IN_SAME_COMPONENT"
"","ALMS1","TUBA1A","IN_SAME_COMPONENT"
"","ALMS1","TUBA4A","IN_SAME_COMPONENT"
"","ALMS1","TUBB","IN_SAME_COMPONENT"
"","ALMS1","TUBB2C","IN_SAME_COMPONENT"
"","ALMS1","TUBB4","IN_SAME_COMPONENT"
"","ALMS1","TUBG1","IN_SAME_COMPONENT"
"","ALMS1","TUBG2","IN_SAME_COMPONENT"
"","ALMS1","TUBGCP2","IN_SAME_COMPONENT"
"","ALMS1","TUBGCP3","IN_SAME_COMPONENT"
"","ALMS1","TUBGCP4","IN_SAME_COMPONENT"
"","ALMS1","TUBGCP5","IN_SAME_COMPONENT"
"","ALMS1","TUBGCP6","IN_SAME_COMPONENT"
"","ALMS1","YWHAE","IN_SAME_COMPONENT"
"","ALMS1","YWHAG","IN_SAME_COMPONENT"
"","ALMS1","ALMS1","REACTS_WITH"
"","AMICA1","ITGAX","IN_SAME_COMPONENT"
"","AMICA1","ITGB2","IN_SAME_COMPONENT"
"","AMICA1","AMICA1","REACTS_WITH"
"","AMN","APOA1","IN_SAME_COMPONENT"
"","AMN","CUBN","IN_SAME_COMPONENT"
"","AMN","AMN","REACTS_WITH"
"","ANAPC10","ANAPC1","IN_SAME_COMPONENT"
"","ANAPC10","ANAPC11","IN_SAME_COMPONENT"
"","ANAPC10","ANAPC2","IN_SAME_COMPONENT"
"","ANAPC10","ANAPC4","IN_SAME_COMPONENT"
"","ANAPC10","ANAPC5","IN_SAME_COMPONENT"
"","ANAPC10","ANAPC7","IN_SAME_COMPONENT"
"","ANAPC10","BUB1B","IN_SAME_COMPONENT"
"","ANAPC10","BUB3","IN_SAME_COMPONENT"
"","ANAPC10","CCNB1","IN_SAME_COMPONENT"
"","ANAPC10","CDC16","IN_SAME_COMPONENT"
"","ANAPC10","CDC20","IN_SAME_COMPONENT"
"","ANAPC10","CDC23","IN_SAME_COMPONENT"
"","ANAPC10","CDC26","IN_SAME_COMPONENT"
"","ANAPC10","CDC27","IN_SAME_COMPONENT"
"","ANAPC10","CDK1","IN_SAME_COMPONENT"
"","ANAPC10","CDK2","IN_SAME_COMPONENT"
"","ANAPC10","FZR1","IN_SAME_COMPONENT"
"","ANAPC10","MAD2L1","IN_SAME_COMPONENT"
"","ANAPC10","NEK2","IN_SAME_COMPONENT"
"","ANAPC10","PTTG1","IN_SAME_COMPONENT"
"","ANAPC10","SKP2","IN_SAME_COMPONENT"
"","ANAPC10","UBE2C","IN_SAME_COMPONENT"
