alpha	Links	p-value	nodes	density
0.005	4175	0.401989646077	2332	0.00153608644175
0.01	19578	7.16512768605e-11	5520	0.00128528325075
0.02	149941	1.78098150738e-58	8155	0.00450978384071
0.03	453932	3.68524779295e-63	8839	0.0116215395363
0.05	1468665	3.640294457e-90	9318	0.0338340463026
0.1	4831984	2.75608783777e-197	9937	0.0978787942135
0.2	11371566	0.0	10400	0.210293260447
0.3	16586831	0.0	10429	0.305035036446
0.4	21667097	0.0	10537	0.390335437284
0.5	26106573	0.0	10541	0.469956258268
